
1623706024.620143,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34SUZWGLXIWM8'}
1623706024.9126,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34SUZWGLXIWM8'}
1623706026.755615,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A34SUZWGLXIWM8'}
1623706028.501091,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34SUZWGLXIWM8'}
1623706028.803351,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34SUZWGLXIWM8'}
1623706029.525537,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34SUZWGLXIWM8'}
1623706030.33929,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A34SUZWGLXIWM8'}
1623706030.954549,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A34SUZWGLXIWM8'}
1623706031.4494,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A34SUZWGLXIWM8'}
1623706033.718737,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A34SUZWGLXIWM8'}
1623706034.230578,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34SUZWGLXIWM8'}
1623706034.649524,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34SUZWGLXIWM8'}
1623706035.459448,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34SUZWGLXIWM8'}
1623706036.688318,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A34SUZWGLXIWM8'}
1623706037.200268,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A34SUZWGLXIWM8'}
1623706037.609967,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A34SUZWGLXIWM8'}
1623706038.633904,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A34SUZWGLXIWM8'}
1623706046.621562,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A34SUZWGLXIWM8'}
1623706047.645412,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A34SUZWGLXIWM8'}
1623706052.15587,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A34SUZWGLXIWM8'}
1623706052.765573,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A34SUZWGLXIWM8'}
1623706053.686875,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A34SUZWGLXIWM8'}
1623706062.907947,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A34SUZWGLXIWM8'}
1623706063.319039,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A34SUZWGLXIWM8'}
1623706074.52609,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A34SUZWGLXIWM8'}
1623706074.833356,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A34SUZWGLXIWM8'}
1623706074.834083,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A34SUZWGLXIWM8'}
1623706098.129523,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A34SUZWGLXIWM8'}
1623706098.539094,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A34SUZWGLXIWM8'}
1623706099.050817,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A34SUZWGLXIWM8'}
1623706099.665524,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A34SUZWGLXIWM8'}
1623706100.38205,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A34SUZWGLXIWM8'}
1623706101.406223,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A34SUZWGLXIWM8'}
1623706101.718589,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A34SUZWGLXIWM8'}
1623706102.839739,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A34SUZWGLXIWM8'}
1623706103.658923,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A34SUZWGLXIWM8'}
