
1623981723.628354,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981724.244531,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981725.472655,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981727.929765,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981730.389413,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981730.437218,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981731.306219,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981733.45827,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981733.868042,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981734.685779,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981735.299166,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981735.609428,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981736.530032,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981737.145089,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981737.761798,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981738.681692,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981739.295793,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981740.522798,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981741.751485,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981745.235679,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981745.747494,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981747.286815,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981748.513508,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981749.435389,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981750.660878,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981752.635899,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981754.042772,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981755.272283,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981758.953331,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981759.568679,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981761.41729,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981768.169285,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981769.402216,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981770.635297,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981771.246236,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981773.088088,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981774.011053,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981777.405764,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981778.309951,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981778.617127,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981783.265378,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981784.146601,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981785.067258,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981788.445483,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981790.904959,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981790.906316,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981790.908078,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981794.28565,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1ROEDVMTO9Y3X'}
