
1623983064.255894,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OVX9UW5WANQE'}
1623983065.182366,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2OVX9UW5WANQE'}
1623983065.913935,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2OVX9UW5WANQE'}
1623983066.235622,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2OVX9UW5WANQE'}
1623983067.6377,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2OVX9UW5WANQE'}
1623983067.669411,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2OVX9UW5WANQE'}
1623983069.17306,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2OVX9UW5WANQE'}
1623983069.174054,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2OVX9UW5WANQE'}
1623983069.785861,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2OVX9UW5WANQE'}
1623983069.890092,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2OVX9UW5WANQE'}
1623983071.018053,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2OVX9UW5WANQE'}
1623983071.019477,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2OVX9UW5WANQE'}
1623983071.935453,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OVX9UW5WANQE'}
1623983071.936508,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OVX9UW5WANQE'}
1623983072.857629,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OVX9UW5WANQE'}
1623983072.85716,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OVX9UW5WANQE'}
1623983073.473837,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OVX9UW5WANQE'}
1623983073.641002,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OVX9UW5WANQE'}
1623983074.396469,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OVX9UW5WANQE'}
1623983074.400197,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OVX9UW5WANQE'}
1623983076.546846,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2OVX9UW5WANQE'}
1623983076.547727,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': 'A2OVX9UW5WANQE'}
1623983076.649697,A2OVX9UW5WANQE,{'stage': 'SAGAT', 'action': 'complete', 'score': 73, 'worker-id': 'A2OVX9UW5WANQE'}
1623983082.016577,A2OVX9UW5WANQE,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2OVX9UW5WANQE'}
1623983085.146344,A2OVX9UW5WANQE,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2OVX9UW5WANQE'}
1623983249.277987,A2OVX9UW5WANQE,{'stage': 0, 'action': 'opened-page', 'worker-id': 'A2OVX9UW5WANQE'}
1623983304.491685,A2OVX9UW5WANQE,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983318.624992,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4185714285714286,0.6942857142857143]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983321.798504,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5985714285714285,0.5028571428571429]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983325.072333,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.7414285714285714,0.13428571428571429]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983330.548734,A2OVX9UW5WANQE,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983335.52097,A2OVX9UW5WANQE,{'action': 'deselect-vehicle', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983366.363157,A2OVX9UW5WANQE,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983375.149456,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4857142857142857,0.8714285714285714]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983376.06953,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4942857142857143,0.86]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983376.990447,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.54,0.9114285714285715]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983377.603926,A2OVX9UW5WANQE,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983378.833009,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.42,0.76]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983380.062288,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5642857142857143,0.5114285714285715]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983380.922233,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.39571428571428574,0.7657142857142857]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983381.598724,A2OVX9UW5WANQE,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983383.442173,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4542857142857143,0.6942857142857143]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983387.437853,A2OVX9UW5WANQE,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983388.66371,A2OVX9UW5WANQE,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983389.282702,A2OVX9UW5WANQE,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983390.201606,A2OVX9UW5WANQE,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983390.716175,A2OVX9UW5WANQE,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983391.071573,A2OVX9UW5WANQE,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983392.042434,A2OVX9UW5WANQE,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983392.350293,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.45,0.6685714285714286]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983394.191969,A2OVX9UW5WANQE,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983394.278601,A2OVX9UW5WANQE,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983395.423512,A2OVX9UW5WANQE,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983414.471252,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5457142857142857,0.8131428745814732]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983416.620393,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4757142857142857,0.5917143031529017]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983417.541492,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5271428571428571,0.5331428745814732]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983418.462538,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.3757142857142857,0.676000017438616]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983420.917748,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.41,0.7002857317243304]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983430.750881,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5185714285714286,0.5617143031529018]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983431.407375,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49857142857142855,0.5445714460100446]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983432.286941,A2OVX9UW5WANQE,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983433.206172,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4928571428571429,0.6717143031529018]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983434.742427,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5857142857142857,0.6617143031529018]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983436.281115,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.42,0.6617143031529018]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983437.201192,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.45571428571428574,0.6102857317243303]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983438.122537,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4514285714285714,0.6017143031529018]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983438.529594,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4057142857142857,0.6331428745814732]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983438.757585,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4057142857142857,0.6331428745814732]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983439.044971,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4057142857142857,0.6331428745814732]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983439.657584,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4057142857142857,0.6345714460100447]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983440.58116,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.46285714285714286,0.6745714460100446]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983441.482332,A2OVX9UW5WANQE,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983442.422253,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.43714285714285717,0.588857160295759]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983442.729947,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4585714285714286,0.5645714460100446]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983443.34449,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.43142857142857144,0.7388571602957589]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983444.269746,A2OVX9UW5WANQE,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983445.18896,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4685714285714286,0.5160000174386161]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983445.802136,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4657142857142857,0.7574285888671874]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983446.209834,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.48857142857142855,0.7345714460100446]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983447.033205,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5742857142857143,0.5874285888671875]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983454.711984,A2OVX9UW5WANQE,{'action': 'deselect-vehicle', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983474.680295,A2OVX9UW5WANQE,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983475.603016,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4114285714285714,0.615999995640346]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983477.137461,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4257142857142857,0.6145714242117746]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983478.059126,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49142857142857144,0.5702857099260603]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983478.982617,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5057142857142857,0.5117142813546317]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983479.12639,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5057142857142857,0.5117142813546317]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983479.902533,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5057142857142857,0.5131428527832032]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983480.516493,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4442857142857143,0.6531428527832032]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983481.131693,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4228571428571429,0.6517142813546317]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 0}
1623983871.898743,A2OVX9UW5WANQE,{'stage': 0, 'action': 'stage-complete', 'object': 'distance-traveled:0,0,0,0', 'worker-id': 'A2OVX9UW5WANQE'}
1623983931.800567,A2OVX9UW5WANQE,{'stage': 0, 'action': 'stage-complete', 'object': 'distance-traveled:0,0,0,0', 'worker-id': 'A2OVX9UW5WANQE'}
1623983931.803648,A2OVX9UW5WANQE,{'stage': 0, 'action': 'user confirmed end of stage, redirecting', 'worker-id': 'A2OVX9UW5WANQE'}
1623984019.28544,A2OVX9UW5WANQE,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 3}
1623984022.95395,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.9028571428571428,0.8688571384974888]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 3}
1623984023.637198,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.9028571428571428,0.8688571384974888]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 3}
1623984024.242946,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7942857142857143,0.8945714242117746]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 3}
1623984024.843182,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7785714285714286,0.9145714242117745]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 3}
1623984025.296818,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.77,0.9302857099260603]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 3}
1623984025.83345,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7085714285714285,0.8431428527832031]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 3}
1623984120.872463,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.9,0.8688571602957589]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 3}
1623984126.921426,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.8971428571428571,0.8860000174386161]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 3}
1623984128.350579,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.8885714285714286,0.8802857317243303]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 3}
1623984129.583861,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.8885714285714286,0.8802857317243303]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 3}
1623984129.866656,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.8885714285714286,0.8802857317243303]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 3}
1623984488.057779,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5685714285714286,0.9442857142857143]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 3}
1623984489.408236,A2OVX9UW5WANQE,{'action': 'select-vehicle', 'target': 'UGV2', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 3}
1623984495.356913,A2OVX9UW5WANQE,{'action': 'add-valid-waypoint', 'target': 'UGV2', 'location': '[0.8914285714285715,0.9088571602957589]', 'worker-id': 'A2OVX9UW5WANQE', 'stage': 3}
1623984533.608299,A2OVX9UW5WANQE,{'stage': 3, 'action': 'stage-complete', 'object': 'distance-traveled:965.4939679404828,133.99507069463982,0,0', 'worker-id': 'A2OVX9UW5WANQE'}
1623984534.841068,A2OVX9UW5WANQE,{'stage': 3, 'action': 'user confirmed end of stage, redirecting', 'worker-id': 'A2OVX9UW5WANQE'}
1623984534.842143,A2OVX9UW5WANQE,{'stage': 3, 'action': 'stage-complete', 'object': 'distance-traveled:970.5991721086555,141.3276667940636,0,0', 'worker-id': 'A2OVX9UW5WANQE'}
1623984535.338189,A2OVX9UW5WANQE,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2OVX9UW5WANQE'}
