
1624135525.240514,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A35S5YV2XL971J'}
1624135526.164501,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A35S5YV2XL971J'}
1624135526.165382,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A35S5YV2XL971J'}
1624135527.701353,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A35S5YV2XL971J'}
1624135528.619606,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A35S5YV2XL971J'}
1624135528.665367,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A35S5YV2XL971J'}
1624135529.237336,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A35S5YV2XL971J'}
1624135529.276766,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A35S5YV2XL971J'}
1624135530.15497,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A35S5YV2XL971J'}
1624135530.193134,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A35S5YV2XL971J'}
1624135530.363716,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A35S5YV2XL971J'}
1624135530.667484,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A35S5YV2XL971J'}
1624135532.306778,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A35S5YV2XL971J'}
1624135532.307658,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A35S5YV2XL971J'}
1624135533.235796,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A35S5YV2XL971J'}
1624135533.247289,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A35S5YV2XL971J'}
1624135534.461188,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A35S5YV2XL971J'}
1624135535.996807,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A35S5YV2XL971J'}
1624135536.129273,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A35S5YV2XL971J'}
1624135537.224636,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A35S5YV2XL971J'}
1624135538.147992,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A35S5YV2XL971J'}
1624135539.37499,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A35S5YV2XL971J'}
1624135540.296307,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A35S5YV2XL971J'}
1624135540.911053,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A35S5YV2XL971J'}
1624135540.912195,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A35S5YV2XL971J'}
1624135547.053409,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A35S5YV2XL971J'}
1624135547.054024,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A35S5YV2XL971J'}
1624135551.968892,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A35S5YV2XL971J'}
1624135551.969663,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A35S5YV2XL971J'}
1624135553.199842,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A35S5YV2XL971J'}
1624135553.200378,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A35S5YV2XL971J'}
1624135554.12387,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A35S5YV2XL971J'}
1624135554.124702,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A35S5YV2XL971J'}
