
1621101054.218362,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ASS8RE4GEBJK6'}
1621101054.522897,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ASS8RE4GEBJK6'}
1621101054.685057,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ASS8RE4GEBJK6'}
1621101054.931275,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ASS8RE4GEBJK6'}
1621101057.802683,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ASS8RE4GEBJK6'}
1621101058.416028,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'ASS8RE4GEBJK6'}
1621101059.031115,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'ASS8RE4GEBJK6'}
1621101059.952966,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'ASS8RE4GEBJK6'}
1621101062.104742,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'ASS8RE4GEBJK6'}
1621101062.721006,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'ASS8RE4GEBJK6'}
1621101063.024535,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'ASS8RE4GEBJK6'}
1621101064.047199,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'ASS8RE4GEBJK6'}
1621101064.871144,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'ASS8RE4GEBJK6'}
1621101065.487128,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'ASS8RE4GEBJK6'}
1621101066.101821,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'ASS8RE4GEBJK6'}
1621101067.078042,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'ASS8RE4GEBJK6'}
1621101067.732653,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'ASS8RE4GEBJK6'}
1621101069.177034,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'ASS8RE4GEBJK6'}
