
1624235757.948963,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235758.564721,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235759.179268,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235759.484042,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235760.714124,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235761.327137,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235762.348864,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235768.394807,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235768.702604,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235769.317517,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235769.931759,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235770.546069,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235770.552585,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235771.465903,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235772.146729,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235772.571886,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235773.927564,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235774.542115,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235775.765176,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235781.297268,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235781.297792,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235811.401755,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235816.009907,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235817.238904,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235818.467941,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235818.667571,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235819.698082,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235820.309952,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235820.923952,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235821.846184,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235822.459866,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235822.970564,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235823.686615,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235824.305147,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235828.300088,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1YXKN5ATSR5I1'}
