
1624229452.34431,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A25CZJEFKXF4UV'}
1624229453.573453,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A25CZJEFKXF4UV'}
1624229453.799984,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A25CZJEFKXF4UV'}
1624229454.494714,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A25CZJEFKXF4UV'}
1624229455.414425,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A25CZJEFKXF4UV'}
1624229456.652065,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A25CZJEFKXF4UV'}
1624229457.260442,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A25CZJEFKXF4UV'}
1624229457.405945,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A25CZJEFKXF4UV'}
1624229458.496462,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A25CZJEFKXF4UV'}
1624229459.316578,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A25CZJEFKXF4UV'}
1624229460.639066,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A25CZJEFKXF4UV'}
1624229461.253559,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A25CZJEFKXF4UV'}
1624229461.871514,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A25CZJEFKXF4UV'}
1624229462.483323,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A25CZJEFKXF4UV'}
1624229462.554682,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A25CZJEFKXF4UV'}
1624229462.889662,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A25CZJEFKXF4UV'}
1624229463.711234,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A25CZJEFKXF4UV'}
1624229464.325814,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A25CZJEFKXF4UV'}
1624229464.32622,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A25CZJEFKXF4UV'}
1624229464.937051,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A25CZJEFKXF4UV'}
1624229464.990925,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A25CZJEFKXF4UV'}
1624229465.867648,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A25CZJEFKXF4UV'}
1624229468.628627,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A25CZJEFKXF4UV'}
1624229468.629533,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A25CZJEFKXF4UV'}
1624229478.77469,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A25CZJEFKXF4UV'}
1624229479.555642,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A25CZJEFKXF4UV'}
1624229480.303763,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A25CZJEFKXF4UV'}
1624229480.410922,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A25CZJEFKXF4UV'}
1624229481.228994,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A25CZJEFKXF4UV'}
1624229481.322783,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A25CZJEFKXF4UV'}
1624229483.374812,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A25CZJEFKXF4UV'}
1624229483.577864,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A25CZJEFKXF4UV'}
1624229484.293492,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A25CZJEFKXF4UV'}
1624229485.215482,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A25CZJEFKXF4UV'}
1624229485.270755,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A25CZJEFKXF4UV'}
1624229486.144488,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A25CZJEFKXF4UV'}
1624229486.238334,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A25CZJEFKXF4UV'}
1624229487.058093,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A25CZJEFKXF4UV'}
1624229487.203083,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A25CZJEFKXF4UV'}
1624229487.979594,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A25CZJEFKXF4UV'}
1624229488.287216,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A25CZJEFKXF4UV'}
1624229489.208594,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A25CZJEFKXF4UV'}
1624229489.242588,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A25CZJEFKXF4UV'}
