
1624151714.418869,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A15CYEEX5TXYBB'}
1624151715.342765,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A15CYEEX5TXYBB'}
1624151716.264357,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A15CYEEX5TXYBB'}
1624151716.269465,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A15CYEEX5TXYBB'}
1624151719.335088,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A15CYEEX5TXYBB'}
1624151719.373567,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A15CYEEX5TXYBB'}
1624151720.869375,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A15CYEEX5TXYBB'}
1624151720.940725,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A15CYEEX5TXYBB'}
1624151722.713446,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A15CYEEX5TXYBB'}
1624151724.55407,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A15CYEEX5TXYBB'}
1624151724.556859,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A15CYEEX5TXYBB'}
1624151727.013072,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A15CYEEX5TXYBB'}
1624151728.238684,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A15CYEEX5TXYBB'}
1624151729.160962,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A15CYEEX5TXYBB'}
1624151730.700912,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A15CYEEX5TXYBB'}
1624151730.730873,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A15CYEEX5TXYBB'}
1624151731.924882,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A15CYEEX5TXYBB'}
1624151760.187079,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15CYEEX5TXYBB'}
1624151760.187934,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15CYEEX5TXYBB'}
1624151761.723304,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A15CYEEX5TXYBB'}
1624151762.953816,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A15CYEEX5TXYBB'}
1624151762.955153,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A15CYEEX5TXYBB'}
1624151778.627823,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A15CYEEX5TXYBB'}
1624151778.627055,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A15CYEEX5TXYBB'}
1624151780.772105,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A15CYEEX5TXYBB'}
