
1624131052.560638,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131053.481109,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131053.512613,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131054.711847,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131055.93759,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131056.873376,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131057.474664,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131058.394462,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131058.58267,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131059.938197,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131060.21554,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131060.860115,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131061.162962,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131062.69525,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131063.348537,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131064.538969,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131066.863964,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131067.922383,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131067.921927,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131069.144985,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131070.067434,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131070.158729,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131070.682124,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131071.914455,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131072.52608,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131073.342719,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131073.649346,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131073.705863,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131074.675547,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131074.702665,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131075.905688,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131075.906546,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131076.520705,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131077.15554,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131078.362942,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131078.976776,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131080.205032,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131080.390946,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131081.740781,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131082.354243,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131082.760481,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131086.347004,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131086.431884,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131086.989508,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131088.803924,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131089.418064,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131090.648899,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131090.956447,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131092.492631,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131093.719689,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1GL9DKOEC0PFH'}
