
1623977763.582423,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AW0MG225VXWCN'}
1623977763.583624,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AW0MG225VXWCN'}
1623977763.585277,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AW0MG225VXWCN'}
1623977765.019935,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0MG225VXWCN'}
1623977765.630438,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0MG225VXWCN'}
1623977766.552208,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0MG225VXWCN'}
1623977767.478299,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AW0MG225VXWCN'}
1623977767.573259,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AW0MG225VXWCN'}
1623977768.396151,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AW0MG225VXWCN'}
1623977769.317577,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AW0MG225VXWCN'}
1623977769.418799,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AW0MG225VXWCN'}
1623977770.243426,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AW0MG225VXWCN'}
1623977770.85685,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AW0MG225VXWCN'}
1623977770.969375,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AW0MG225VXWCN'}
1623977772.390286,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AW0MG225VXWCN'}
1623977772.389379,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0MG225VXWCN'}
1623977772.797085,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0MG225VXWCN'}
1623977773.621731,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0MG225VXWCN'}
1623977773.883892,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0MG225VXWCN'}
1623977774.543686,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0MG225VXWCN'}
1623977775.154077,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0MG225VXWCN'}
1623977775.196298,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0MG225VXWCN'}
1623977777.002548,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AW0MG225VXWCN'}
1623977777.003303,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AW0MG225VXWCN'}
1623977784.066851,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0MG225VXWCN'}
1623977784.67763,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0MG225VXWCN'}
1623977785.29148,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0MG225VXWCN'}
1623977785.602481,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0MG225VXWCN'}
1623977786.524575,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AW0MG225VXWCN'}
1623977786.710772,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AW0MG225VXWCN'}
1623977787.749174,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AW0MG225VXWCN'}
1623977788.012331,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AW0MG225VXWCN'}
1623977789.284831,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0MG225VXWCN'}
1623977789.521848,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0MG225VXWCN'}
1623977791.43817,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AW0MG225VXWCN'}
1623977791.439087,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AW0MG225VXWCN'}
1623977806.49113,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AW0MG225VXWCN'}
1623977806.493358,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AW0MG225VXWCN'}
1623977836.598847,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AW0MG225VXWCN'}
1623977838.851114,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AW0MG225VXWCN'}
1623977839.667495,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AW0MG225VXWCN'}
1623977843.354353,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0MG225VXWCN'}
1623977843.355014,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AW0MG225VXWCN'}
1623977843.35681,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0MG225VXWCN'}
1623977843.358016,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0MG225VXWCN'}
1623977843.760891,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AW0MG225VXWCN'}
1623977844.067799,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AW0MG225VXWCN'}
1623977844.891065,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AW0MG225VXWCN'}
1623977845.083907,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AW0MG225VXWCN'}
1623977845.398915,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AW0MG225VXWCN'}
1623977846.734074,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AW0MG225VXWCN'}
1623977847.040783,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AW0MG225VXWCN'}
1623977847.652847,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AW0MG225VXWCN'}
1623977847.786775,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AW0MG225VXWCN'}
1623977848.5765,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AW0MG225VXWCN'}
