
1624831883.108102,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A32QWM7BWCSPTS'}
1624831884.364834,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A32QWM7BWCSPTS'}
1624831884.703926,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A32QWM7BWCSPTS'}
1624831885.565346,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A32QWM7BWCSPTS'}
1624831886.274319,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A32QWM7BWCSPTS'}
1624831886.295635,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A32QWM7BWCSPTS'}
1624831886.789525,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A32QWM7BWCSPTS'}
1624831887.714331,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A32QWM7BWCSPTS'}
1624831887.834391,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A32QWM7BWCSPTS'}
1624831888.325867,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A32QWM7BWCSPTS'}
1624831889.245854,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A32QWM7BWCSPTS'}
1624831890.173164,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A32QWM7BWCSPTS'}
1624831893.638533,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A32QWM7BWCSPTS'}
1624831895.151281,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A32QWM7BWCSPTS'}
1624831896.928157,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A32QWM7BWCSPTS'}
1624831897.267653,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A32QWM7BWCSPTS'}
1624831899.689533,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A32QWM7BWCSPTS'}
1624831900.098712,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A32QWM7BWCSPTS'}
1624831903.99228,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A32QWM7BWCSPTS'}
1624831904.605451,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A32QWM7BWCSPTS'}
1624831905.22182,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A32QWM7BWCSPTS'}
1624831906.451111,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A32QWM7BWCSPTS'}
1624831906.757119,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A32QWM7BWCSPTS'}
1624831907.678858,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A32QWM7BWCSPTS'}
1624831909.217063,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A32QWM7BWCSPTS'}
1624831909.366199,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A32QWM7BWCSPTS'}
1624831909.830967,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A32QWM7BWCSPTS'}
1624831921.705449,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A32QWM7BWCSPTS'}
1624831921.705996,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A32QWM7BWCSPTS'}
1624831929.490648,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A32QWM7BWCSPTS'}
1624831929.627435,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A32QWM7BWCSPTS'}
