
1617487418.1197,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AUB6V4HVL1O45'}
1617487419.059874,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AUB6V4HVL1O45'}
1617487419.373422,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AUB6V4HVL1O45'}
1617487420.417608,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AUB6V4HVL1O45'}
1617487420.731394,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AUB6V4HVL1O45'}
1617487421.36686,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AUB6V4HVL1O45'}
1617487422.005149,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AUB6V4HVL1O45'}
1617487422.439563,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AUB6V4HVL1O45'}
1617487423.067875,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AUB6V4HVL1O45'}
1617487423.551832,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AUB6V4HVL1O45'}
1617487424.820146,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AUB6V4HVL1O45'}
1617487425.327537,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AUB6V4HVL1O45'}
1617487426.19951,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AUB6V4HVL1O45'}
1617487431.489851,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AUB6V4HVL1O45'}
1617487432.430183,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AUB6V4HVL1O45'}
1617487434.727849,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AUB6V4HVL1O45'}
1617487434.825384,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AUB6V4HVL1O45'}
1617487464.787888,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AUB6V4HVL1O45'}
