
1617480675.075048,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34MXCHJVM6ENI'}
1617480677.034702,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A34MXCHJVM6ENI'}
1617480679.131735,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A34MXCHJVM6ENI'}
1617480679.745907,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A34MXCHJVM6ENI'}
1617480681.521683,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34MXCHJVM6ENI'}
1617480682.795012,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34MXCHJVM6ENI'}
1617480686.537315,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A34MXCHJVM6ENI'}
1617480687.998283,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A34MXCHJVM6ENI'}
1617480688.508385,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A34MXCHJVM6ENI'}
1617480689.355984,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A34MXCHJVM6ENI'}
1617480689.938567,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A34MXCHJVM6ENI'}
1617480691.445284,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A34MXCHJVM6ENI'}
1617480691.967789,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A34MXCHJVM6ENI'}
1617480692.916212,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A34MXCHJVM6ENI'}
1617480693.998492,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A34MXCHJVM6ENI'}
