
1617485808.338846,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K8VUKRL53OX'}
1617485808.651451,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K8VUKRL53OX'}
1617485809.071954,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K8VUKRL53OX'}
1617485809.278312,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K8VUKRL53OX'}
1617485810.114082,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1K8VUKRL53OX'}
1617485810.427178,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1K8VUKRL53OX'}
1617485810.741166,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1K8VUKRL53OX'}
1617485811.053328,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1K8VUKRL53OX'}
1617485811.367286,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1K8VUKRL53OX'}
1617485811.68328,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1K8VUKRL53OX'}
1617485811.993952,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1K8VUKRL53OX'}
1617485816.590402,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1K8VUKRL53OX'}
1617485816.593347,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1K8VUKRL53OX'}
1617485816.615639,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1K8VUKRL53OX'}
1617485817.949148,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1K8VUKRL53OX'}
1617485817.951247,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A1K8VUKRL53OX'}
1617485820.353994,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1K8VUKRL53OX'}
1617485820.352289,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A1K8VUKRL53OX'}
1617485821.854216,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1K8VUKRL53OX'}
1617485821.856094,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A1K8VUKRL53OX'}
1617485823.588087,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1K8VUKRL53OX'}
1617485824.321185,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K8VUKRL53OX'}
1617485824.946626,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1K8VUKRL53OX'}
1617485825.991361,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1K8VUKRL53OX'}
1617485826.199876,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1K8VUKRL53OX'}
1617485826.617154,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1K8VUKRL53OX'}
1617485827.453125,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1K8VUKRL53OX'}
1617485827.870836,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1K8VUKRL53OX'}
1617485828.497632,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1K8VUKRL53OX'}
1617485830.690449,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1K8VUKRL53OX'}
1617485831.422073,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1K8VUKRL53OX'}
1617485835.183982,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1K8VUKRL53OX'}
1617485835.704699,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1K8VUKRL53OX'}
1617485836.226907,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1K8VUKRL53OX'}
1617485836.853348,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1K8VUKRL53OX'}
1617485836.949614,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1K8VUKRL53OX'}
1617485837.271247,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1K8VUKRL53OX'}
1617485838.629669,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1K8VUKRL53OX'}
1617485838.941992,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1K8VUKRL53OX'}
1617485840.778357,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K8VUKRL53OX'}
1617485845.210311,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1K8VUKRL53OX'}
1617485845.836273,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1K8VUKRL53OX'}
1617485846.149353,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1K8VUKRL53OX'}
1617485846.462933,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1K8VUKRL53OX'}
1617485846.671232,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1K8VUKRL53OX'}
1617485846.880659,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1K8VUKRL53OX'}
1617485847.089983,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1K8VUKRL53OX'}
1617485847.298707,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1K8VUKRL53OX'}
1617485847.562687,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1K8VUKRL53OX'}
1617485847.820729,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1K8VUKRL53OX'}
1617485848.760621,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1K8VUKRL53OX'}
1617485849.389558,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1K8VUKRL53OX'}
1617485849.700395,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1K8VUKRL53OX'}
1617485849.868447,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1K8VUKRL53OX'}
1617485850.55824,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1K8VUKRL53OX'}
1617485850.953988,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1K8VUKRL53OX'}
1617485851.162811,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1K8VUKRL53OX'}
