
1624904352.079447,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AD1FDB9A61LMS'}
1624904363.444309,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AD1FDB9A61LMS'}
1624904364.363051,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AD1FDB9A61LMS'}
1624904364.566233,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AD1FDB9A61LMS'}
1624904366.206816,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AD1FDB9A61LMS'}
1624904367.972826,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AD1FDB9A61LMS'}
1624904369.280363,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AD1FDB9A61LMS'}
1624904373.065107,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AD1FDB9A61LMS'}
1624904374.190788,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AD1FDB9A61LMS'}
1624904374.809187,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AD1FDB9A61LMS'}
1624904375.726714,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AD1FDB9A61LMS'}
1624904376.342813,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AD1FDB9A61LMS'}
1624904376.867885,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AD1FDB9A61LMS'}
1624904377.573129,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AD1FDB9A61LMS'}
1624904377.772575,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AD1FDB9A61LMS'}
1624904378.322042,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AD1FDB9A61LMS'}
1624904378.806687,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AD1FDB9A61LMS'}
1624904379.513936,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AD1FDB9A61LMS'}
1624904380.33734,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AD1FDB9A61LMS'}
1624904380.675369,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AD1FDB9A61LMS'}
1624904381.424035,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AD1FDB9A61LMS'}
1624904383.103142,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AD1FDB9A61LMS'}
1624904383.103907,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AD1FDB9A61LMS'}
1624904393.662377,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AD1FDB9A61LMS'}
1624904393.96531,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AD1FDB9A61LMS'}
