
1624906194.925087,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906195.357212,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906195.697373,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906195.95594,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906196.741297,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906200.314107,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906200.31526,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906230.608574,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906232.766231,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906232.929817,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906234.296967,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906234.357574,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906235.52321,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906236.445715,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906236.446207,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906236.46646,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906237.679416,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906238.289582,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906238.291184,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906238.90384,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906239.521135,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906239.769702,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906240.153676,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906240.747385,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906240.908259,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906241.170335,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906241.479761,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906241.978158,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906242.107865,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906242.712395,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906245.863258,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906245.864884,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906275.808975,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906277.561559,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906277.716881,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906277.907217,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906278.848001,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906278.849854,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906278.937545,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906279.764735,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906279.828711,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906279.977738,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906280.732693,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906281.341661,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906282.726892,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906282.812833,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906285.50199,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906285.905905,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906286.82727,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906287.137285,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906287.338164,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906287.730824,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906288.720601,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906289.604167,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906289.823897,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906290.323723,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906290.823657,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906291.155863,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906293.29422,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906293.298003,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906323.385005,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906325.735615,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906325.826884,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906326.456334,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906326.55478,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906327.378382,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906327.379792,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906328.299097,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906328.42903,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906329.2205,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906329.221425,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906331.067512,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906331.678473,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906332.29375,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906332.599886,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906332.784347,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906333.214665,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906333.827436,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906334.001495,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906334.443358,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906334.753359,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906335.363718,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906335.419564,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906339.051974,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906339.052925,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906341.820122,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2FYFCD16Z3PCC'}
