
1620955347.425798,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955348.660568,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955348.72229,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955349.277506,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955349.349795,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955350.290602,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955350.811903,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955351.733169,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955352.345906,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955352.962323,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955353.169863,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955354.189958,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955354.386924,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955354.801874,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955355.732891,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955356.646288,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955357.029719,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955358.183504,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955358.310649,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955368.929667,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OO4PG3LBLP5I'}
