
1617313998.652182,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2EJ7U3TZAKROG'}
1617313999.23712,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314004.355631,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314004.358602,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314034.332578,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314036.739426,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314037.152641,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314042.689424,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314043.210521,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314044.466056,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314045.299908,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314045.823826,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314046.239726,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314046.867367,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314048.329921,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314050.731616,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314051.04761,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314051.566721,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314052.19402,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314052.819957,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314053.864267,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314053.865043,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314054.492999,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314054.909163,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314055.323734,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314058.252315,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314058.251931,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2EJ7U3TZAKROG'}
