
1630354107.175703,7054,{'stage': 'object tracking', 'action': 'ball selected', 'object': 2, 'worker-id': '7054'}
1630354107.696251,7054,{'stage': 'object tracking', 'action': 'ball selected', 'object': 11, 'worker-id': '7054'}
1630354107.882351,7054,{'stage': 'object tracking', 'action': 'ball selected', 'object': 5, 'worker-id': '7054'}
1630354108.156726,7054,{'stage': 'object tracking', 'action': 'ball selected', 'object': 12, 'worker-id': '7054'}
1630354111.874969,7054,{'stage': 'object tracking', 'action': 'ball selected', 'object': 14, 'worker-id': '7054'}
1630354113.332044,7054,{'stage': 'object tracking', 'action': 'ball selected', 'object': 0, 'worker-id': '7054'}
1630354113.396223,7054,{'stage': 'object tracking', 'action': 'ball selected', 'object': 0, 'worker-id': '7054'}
1630354114.384072,7054,{'stage': 'object tracking', 'action': 'ball selected', 'object': 0, 'worker-id': '7054'}
1630354115.426001,7054,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '7054'}
1630354115.426799,7054,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '7054'}
1630354115.428618,7054,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 6, 'score': 4, 'worker-id': '7054'}
1630354116.784039,7054,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '7054'}
1630354136.524718,7054,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '7054'}
1630354137.675757,7054,{'stage': 'object tracking', 'action': 'ball selected', 'object': 1, 'worker-id': '7054'}
1630354138.196504,7054,{'stage': 'object tracking', 'action': 'ball selected', 'object': 3, 'worker-id': '7054'}
1630354138.197157,7054,{'stage': 'object tracking', 'action': 'ball selected', 'object': 9, 'worker-id': '7054'}
1630354139.35536,7054,{'stage': 'object tracking', 'action': 'ball selected', 'object': 4, 'worker-id': '7054'}
1630354140.14592,7054,{'stage': 'object tracking', 'action': 'ball selected', 'object': 6, 'worker-id': '7054'}
1630354141.960223,7054,{'stage': 'object tracking', 'action': 'ball selected', 'object': 12, 'worker-id': '7054'}
1630354142.678531,7054,{'stage': 'object tracking', 'action': 'ball selected', 'object': 0, 'worker-id': '7054'}
1630354142.730033,7054,{'stage': 'object tracking', 'action': 'ball selected', 'object': 0, 'worker-id': '7054'}
1630354143.524024,7054,{'stage': 'object tracking', 'action': 'ball selected', 'object': 0, 'worker-id': '7054'}
1630354144.254407,7054,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '7054'}
1630354144.255472,7054,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '7054'}
1630354144.280858,7054,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': '7054'}
1630354144.280068,7054,{'stage': 'object tracking', 'result': [1, 2, 2, 2, 1, 4, 6], 'worker-id': '7054'}
1630354144.284766,7054,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 7, 'score': 6, 'worker-id': '7054'}
1630354443.622686,7054,{'stage': 'SAGAT', 'action': 'opened-page', 'worker-id': '7054'}
1630354443.624494,7054,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '7054'}
