
1619890316.495144,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890316.500414,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890316.50918,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890316.512766,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890316.518777,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890318.632414,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890318.945763,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890320.200165,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890321.03466,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890321.345892,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890322.810293,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890323.959989,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890324.285927,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890325.421975,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890325.735928,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890326.260172,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890326.467296,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890326.884288,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890327.097826,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890327.510543,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890327.82365,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890328.347221,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890328.763711,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890331.689727,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890331.69027,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890336.911022,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890337.119956,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890337.851231,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890338.268871,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890341.193473,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890341.193987,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890347.356254,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890347.357458,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890377.333413,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890379.422319,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890379.735781,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890380.048447,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890380.675584,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890380.988493,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890381.407256,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890381.719868,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890381.929432,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890382.659885,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890382.869687,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890383.103527,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890383.600252,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890383.810228,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890384.645079,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890384.853334,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890385.271844,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890386.002465,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890386.316042,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890386.992325,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890386.998457,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890417.037858,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890419.321793,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890419.475409,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890420.367139,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890420.400867,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890420.78399,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2IP3ZAFYGV8M9'}
