
1630332447.643609,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 11, 'worker-id': '6600'}
1630332448.20401,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 8, 'worker-id': '6600'}
1630332449.00365,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 1, 'worker-id': '6600'}
1630332449.720094,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 5, 'worker-id': '6600'}
1630332450.724235,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 12, 'worker-id': '6600'}
1630332451.699708,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 14, 'worker-id': '6600'}
1630332452.584799,6600,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '6600'}
1630332452.605544,6600,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '6600'}
1630332452.606299,6600,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 6, 'score': 4, 'worker-id': '6600'}
1630332454.936646,6600,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '6600'}
1630332475.018372,6600,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '6600'}
1630332476.44657,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 2, 'worker-id': '6600'}
1630332476.913718,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 8, 'worker-id': '6600'}
1630332477.396618,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 12, 'worker-id': '6600'}
1630332478.649564,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 10, 'worker-id': '6600'}
1630332479.59982,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 6, 'worker-id': '6600'}
1630332482.863998,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 0, 'worker-id': '6600'}
1630332485.65596,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 11, 'worker-id': '6600'}
1630332486.601649,6600,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 7, 'score': 4, 'worker-id': '6600'}
1630332486.600973,6600,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '6600'}
1630332486.602349,6600,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '6600'}
1630332486.640887,6600,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': '6600'}
1630332486.651084,6600,{'stage': 'object tracking', 'result': [1, 2, 2, 4, 2, 4, 4], 'worker-id': '6600'}
1630332748.24915,6600,{'stage': 'SAGAT', 'action': 'opened-page', 'worker-id': '6600'}
1630332748.252971,6600,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '6600'}
1630332750.639809,6600,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': '6600'}
1630332750.641234,6600,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': '6600'}
1630332787.506658,6600,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': '6600'}
1630332787.508296,6600,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '6600'}
1630332787.5351,6600,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': '6600'}
1630332795.14198,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '6600'}
1630332796.624235,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '6600'}
1630332797.747046,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '6600'}
1630332797.900912,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '6600'}
1630332798.258559,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '6600'}
1630332799.318306,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '6600'}
1630332799.550845,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '6600'}
1630332800.46315,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '6600'}
1630332800.634485,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '6600'}
1630332800.891349,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '6600'}
1630332802.359179,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '6600'}
1630332803.905538,6600,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': '6600'}
1630332803.906944,6600,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': '6600'}
1630332815.504489,6600,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '6600'}
1630332815.505141,6600,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': '6600'}
1630332825.15896,6600,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': '6600'}
1630332825.159688,6600,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '6600'}
1630332855.086109,6600,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '6600'}
1630332858.429033,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '6600'}
1630332859.688768,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '6600'}
1630332859.962592,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '6600'}
1630332860.536546,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '6600'}
1630332861.172792,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '6600'}
1630332861.424343,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '6600'}
1630332861.739503,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '6600'}
1630332862.608905,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '6600'}
1630332863.479083,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '6600'}
1630332863.805142,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '6600'}
1630332868.458726,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '6600'}
1630332869.083849,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '6600'}
1630332869.806246,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '6600'}
1630332875.151149,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '6600'}
1630332878.207049,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '6600'}
1630332881.412084,6600,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing incomplete cycle panel', 'worker-id': '6600'}
1630332884.647443,6600,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '6600'}
1630332884.652303,6600,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button incomplete panel', 'worker-id': '6600'}
1630332885.664687,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '6600'}
1630332886.210906,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '6600'}
1630332886.738829,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '6600'}
1630332887.361783,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '6600'}
1630332888.001285,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '6600'}
1630332888.509627,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '6600'}
1630332889.144979,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '6600'}
1630332889.665826,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '6600'}
