
1623627806.520484,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A353XKDTUX10NC'}
1623627807.233842,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A353XKDTUX10NC'}
1623627807.847569,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A353XKDTUX10NC'}
1623627808.303705,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A353XKDTUX10NC'}
1623627808.974375,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A353XKDTUX10NC'}
1623627809.286228,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A353XKDTUX10NC'}
1623627809.793571,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A353XKDTUX10NC'}
1623627810.203057,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A353XKDTUX10NC'}
1623627810.510958,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A353XKDTUX10NC'}
1623627810.920167,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A353XKDTUX10NC'}
1623627811.227747,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A353XKDTUX10NC'}
1623627811.56356,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A353XKDTUX10NC'}
1623627812.45607,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A353XKDTUX10NC'}
1623627812.767997,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A353XKDTUX10NC'}
1623627813.173158,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A353XKDTUX10NC'}
1623627814.813436,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A353XKDTUX10NC'}
1623627814.813875,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A353XKDTUX10NC'}
1623627844.82469,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A353XKDTUX10NC'}
1623627846.658833,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A353XKDTUX10NC'}
1623627847.068597,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A353XKDTUX10NC'}
1623627847.580626,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A353XKDTUX10NC'}
1623627849.014361,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A353XKDTUX10NC'}
1623627849.424163,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A353XKDTUX10NC'}
1623627850.857746,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A353XKDTUX10NC'}
1623627851.881603,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A353XKDTUX10NC'}
1623627852.188739,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A353XKDTUX10NC'}
1623627852.495977,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A353XKDTUX10NC'}
1623627855.363149,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A353XKDTUX10NC'}
1623627855.670507,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A353XKDTUX10NC'}
1623627856.284907,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A353XKDTUX10NC'}
1623627856.881802,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A353XKDTUX10NC'}
1623627859.049622,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A353XKDTUX10NC'}
1623627859.5667,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A353XKDTUX10NC'}
1623627859.949123,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A353XKDTUX10NC'}
1623627860.483525,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A353XKDTUX10NC'}
1623627860.893748,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A353XKDTUX10NC'}
1623627861.507895,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A353XKDTUX10NC'}
1623627861.917068,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A353XKDTUX10NC'}
1623627862.434435,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A353XKDTUX10NC'}
1623627862.839186,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A353XKDTUX10NC'}
1623627863.350824,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A353XKDTUX10NC'}
1623627863.965183,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A353XKDTUX10NC'}
1623627866.935378,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A353XKDTUX10NC'}
1623627866.936198,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A353XKDTUX10NC'}
1623627896.939091,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A353XKDTUX10NC'}
1623627898.066874,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A353XKDTUX10NC'}
1623627898.37748,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A353XKDTUX10NC'}
1623627898.987957,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A353XKDTUX10NC'}
1623627899.133908,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A353XKDTUX10NC'}
1623627899.913565,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A353XKDTUX10NC'}
1623627900.017322,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A353XKDTUX10NC'}
1623627901.035186,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A353XKDTUX10NC'}
1623627901.342543,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A353XKDTUX10NC'}
1623627901.854215,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A353XKDTUX10NC'}
1623627902.277093,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A353XKDTUX10NC'}
1623627902.673713,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A353XKDTUX10NC'}
1623627902.944659,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A353XKDTUX10NC'}
1623627903.492996,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A353XKDTUX10NC'}
1623627904.004887,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A353XKDTUX10NC'}
1623627905.028694,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A353XKDTUX10NC'}
1623627905.097055,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A353XKDTUX10NC'}
1623627905.853412,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A353XKDTUX10NC'}
1623627906.360047,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A353XKDTUX10NC'}
1623627907.28162,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A353XKDTUX10NC'}
1623627907.588922,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A353XKDTUX10NC'}
1623627907.896068,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A353XKDTUX10NC'}
1623627909.336006,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A353XKDTUX10NC'}
1623627909.353609,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A353XKDTUX10NC'}
1623627909.841913,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A353XKDTUX10NC'}
1623627910.251427,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A353XKDTUX10NC'}
1623627910.558795,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A353XKDTUX10NC'}
1623627911.406125,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A353XKDTUX10NC'}
1623627911.889663,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A353XKDTUX10NC'}
1623627912.606944,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A353XKDTUX10NC'}
1623627912.914079,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A353XKDTUX10NC'}
1623627913.323479,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A353XKDTUX10NC'}
1623627913.835325,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A353XKDTUX10NC'}
1623627914.245136,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A353XKDTUX10NC'}
1623627914.479824,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A353XKDTUX10NC'}
1623627916.809571,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A353XKDTUX10NC'}
1623627916.810767,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A353XKDTUX10NC'}
1623627946.809351,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A353XKDTUX10NC'}
1623627947.629269,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A353XKDTUX10NC'}
1623627948.14084,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A353XKDTUX10NC'}
1623627948.701009,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A353XKDTUX10NC'}
1623627948.868443,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A353XKDTUX10NC'}
