
1616534043.88362,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A7O82NXM2PI12'}
1616534044.510609,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A7O82NXM2PI12'}
1616534045.345739,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A7O82NXM2PI12'}
1616534046.07692,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A7O82NXM2PI12'}
1616534046.600289,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A7O82NXM2PI12'}
1616534047.330493,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A7O82NXM2PI12'}
1616534047.85324,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A7O82NXM2PI12'}
1616534048.270472,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A7O82NXM2PI12'}
1616534049.315328,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A7O82NXM2PI12'}
1616534049.316101,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A7O82NXM2PI12'}
1616534079.39625,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A7O82NXM2PI12'}
1616534080.650101,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A7O82NXM2PI12'}
1616534080.966666,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A7O82NXM2PI12'}
1616534081.384126,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A7O82NXM2PI12'}
1616534082.217652,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A7O82NXM2PI12'}
1616534083.056175,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A7O82NXM2PI12'}
1616534083.470947,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A7O82NXM2PI12'}
1616534084.51152,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A7O82NXM2PI12'}
1616534086.189309,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A7O82NXM2PI12'}
1616534086.623941,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A7O82NXM2PI12'}
1616534087.440801,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A7O82NXM2PI12'}
1616534087.752203,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A7O82NXM2PI12'}
1616534088.588658,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A7O82NXM2PI12'}
1616534089.423691,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A7O82NXM2PI12'}
1616534089.866699,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A7O82NXM2PI12'}
1616534090.368076,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A7O82NXM2PI12'}
1616534091.10107,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A7O82NXM2PI12'}
1616534091.545619,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A7O82NXM2PI12'}
1616534092.561775,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A7O82NXM2PI12'}
1616534093.184178,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A7O82NXM2PI12'}
1616534094.440404,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A7O82NXM2PI12'}
1616534094.44086,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A7O82NXM2PI12'}
1616534124.414402,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A7O82NXM2PI12'}
1616534125.513169,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A7O82NXM2PI12'}
1616534125.877436,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A7O82NXM2PI12'}
1616534125.921898,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A7O82NXM2PI12'}
1616534126.398535,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A7O82NXM2PI12'}
1616534126.816726,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A7O82NXM2PI12'}
1616534126.959125,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A7O82NXM2PI12'}
1616534128.071086,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A7O82NXM2PI12'}
1616534128.191216,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A7O82NXM2PI12'}
1616534131.204022,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A7O82NXM2PI12'}
1616534131.934218,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A7O82NXM2PI12'}
1616534132.14345,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A7O82NXM2PI12'}
1616534132.7717,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A7O82NXM2PI12'}
1616534134.33769,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A7O82NXM2PI12'}
1616534135.172235,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A7O82NXM2PI12'}
1616534135.381717,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A7O82NXM2PI12'}
1616534136.008815,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A7O82NXM2PI12'}
1616534141.857122,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A7O82NXM2PI12'}
1616534142.798536,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A7O82NXM2PI12'}
1616534145.104283,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A7O82NXM2PI12'}
1616534146.766296,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A7O82NXM2PI12'}
1616534149.276761,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A7O82NXM2PI12'}
1616534152.406795,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A7O82NXM2PI12'}
1616534154.49894,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A7O82NXM2PI12'}
