
1623645081.194684,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2FL477TMKC91L'}
1623645082.931098,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2FL477TMKC91L'}
1623645083.709103,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2FL477TMKC91L'}
1623645087.748448,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2FL477TMKC91L'}
1623645092.556196,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2FL477TMKC91L'}
1623645093.175701,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2FL477TMKC91L'}
1623645094.809144,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2FL477TMKC91L'}
1623645095.321126,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2FL477TMKC91L'}
1623645099.939833,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2FL477TMKC91L'}
1623645100.236147,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2FL477TMKC91L'}
1623645100.851035,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2FL477TMKC91L'}
1623645101.363036,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2FL477TMKC91L'}
1623645101.977148,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2FL477TMKC91L'}
1623645102.386612,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2FL477TMKC91L'}
1623645104.946656,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2FL477TMKC91L'}
1623645106.832269,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2FL477TMKC91L'}
1623645107.404401,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2FL477TMKC91L'}
1623645109.657085,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2FL477TMKC91L'}
1623645110.886019,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2FL477TMKC91L'}
1623645111.197844,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2FL477TMKC91L'}
