
1616723666.851927,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723667.101977,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723667.205654,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723667.417295,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723667.728131,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723668.121019,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723668.124393,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723670.548609,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A10WRBLV9NMNH9'}
1616723683.813825,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A10WRBLV9NMNH9'}
1616723706.270458,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723707.106233,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723710.030572,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723714.313038,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10WRBLV9NMNH9'}
1616723714.731349,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10WRBLV9NMNH9'}
1616723715.462911,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10WRBLV9NMNH9'}
1616723719.540531,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10WRBLV9NMNH9'}
1616723721.834097,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A10WRBLV9NMNH9'}
1616723724.851693,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A10WRBLV9NMNH9'}
1616723725.595813,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A10WRBLV9NMNH9'}
1616723726.951926,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723728.34298,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A10WRBLV9NMNH9'}
1616723728.344454,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A10WRBLV9NMNH9'}
1616723737.14371,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A10WRBLV9NMNH9'}
1616723737.144648,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A10WRBLV9NMNH9'}
1616723737.872786,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723738.411146,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723739.382831,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10WRBLV9NMNH9'}
1616723739.799092,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10WRBLV9NMNH9'}
1616723740.417588,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10WRBLV9NMNH9'}
1616723740.663108,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10WRBLV9NMNH9'}
1616723741.679026,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10WRBLV9NMNH9'}
1616723742.306188,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10WRBLV9NMNH9'}
1616723742.828962,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10WRBLV9NMNH9'}
1616723745.33559,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10WRBLV9NMNH9'}
1616723746.067417,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10WRBLV9NMNH9'}
1616723746.588132,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10WRBLV9NMNH9'}
1616723747.214711,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A10WRBLV9NMNH9'}
1616723747.94611,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10WRBLV9NMNH9'}
1616723748.573196,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A10WRBLV9NMNH9'}
1616723749.721539,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A10WRBLV9NMNH9'}
1616723750.035507,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A10WRBLV9NMNH9'}
1616723750.557113,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10WRBLV9NMNH9'}
1616723752.228279,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A10WRBLV9NMNH9'}
1616723752.229551,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A10WRBLV9NMNH9'}
1616723782.309751,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A10WRBLV9NMNH9'}
1616723785.6537,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10WRBLV9NMNH9'}
1616723785.778143,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10WRBLV9NMNH9'}
1616723787.010425,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10WRBLV9NMNH9'}
1616723787.949766,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10WRBLV9NMNH9'}
1616723788.891201,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10WRBLV9NMNH9'}
1616723789.939574,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A10WRBLV9NMNH9'}
1616723790.765501,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A10WRBLV9NMNH9'}
1616723791.815695,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723793.541641,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A10WRBLV9NMNH9'}
1616723793.543777,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A10WRBLV9NMNH9'}
1616723823.417909,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A10WRBLV9NMNH9'}
1616723825.761019,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A10WRBLV9NMNH9'}
1616723826.388955,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10WRBLV9NMNH9'}
1616723827.432482,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723828.480221,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10WRBLV9NMNH9'}
1616723829.834549,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723830.673165,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A10WRBLV9NMNH9'}
1616723831.820121,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10WRBLV9NMNH9'}
1616723832.236803,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10WRBLV9NMNH9'}
1616723833.385549,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10WRBLV9NMNH9'}
