
1629310089.148181,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 4, 'worker-id': '8943'}
1629310089.859047,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 11, 'worker-id': '8943'}
1629310090.448616,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 9, 'worker-id': '8943'}
1629310091.586073,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 3, 'worker-id': '8943'}
1629310092.399314,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 1, 'worker-id': '8943'}
1629310093.31208,8943,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '8943'}
1629310093.315089,8943,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 6, 'score': 3, 'worker-id': '8943'}
1629310093.317074,8943,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '8943'}
1629310095.258049,8943,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '8943'}
1629310115.344582,8943,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '8943'}
1629310117.257388,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 2, 'worker-id': '8943'}
1629310118.138726,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 4, 'worker-id': '8943'}
1629310118.621214,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 9, 'worker-id': '8943'}
1629310119.017292,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 14, 'worker-id': '8943'}
1629310119.612417,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 7, 'worker-id': '8943'}
1629310120.271021,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 8, 'worker-id': '8943'}
1629310120.912763,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 0, 'worker-id': '8943'}
1629310121.987703,8943,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '8943'}
1629310121.988564,8943,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '8943'}
1629310121.99268,8943,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 7, 'score': 4, 'worker-id': '8943'}
1629310122.063404,8943,{'stage': 'object tracking', 'result': [1, 1, 2, 1, 3, 3, 4], 'worker-id': '8943'}
1629310122.062747,8943,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': '8943'}
1629310384.512542,8943,{'stage': 'SAGAT', 'action': 'opened-page', 'worker-id': '8943'}
1629310384.513476,8943,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '8943'}
