
1619647373.824779,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647375.190786,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647375.516402,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647376.025512,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647376.340487,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647377.096236,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647378.223428,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647378.741907,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647379.161248,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647379.414596,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647380.20985,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647380.832886,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647381.666457,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647382.188921,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2AXY7I6TCRVP5'}
