
1621292463.099955,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292463.13832,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292464.326369,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292464.331378,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292464.534124,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292464.722814,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292464.91991,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292465.249034,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292465.315123,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292465.52311,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292465.735295,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292466.063654,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292466.17446,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292466.78507,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292466.971409,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292467.145742,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292467.706617,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292467.861426,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292468.029825,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292468.938041,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292468.938917,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292469.119472,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292469.34258,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292469.49576,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292469.689401,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292470.781886,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292471.392561,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292471.444123,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292471.617314,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292471.802549,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292471.948243,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292472.154318,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292472.413276,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292472.575702,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292472.757558,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292472.938032,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292473.098448,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292473.301524,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292473.504836,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292473.696287,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292473.950841,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292474.168093,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292474.468186,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292474.587671,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292474.791651,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292474.98567,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
