
1619542051.975718,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A13FUEPWBCLBUY'}
1619542052.70859,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A13FUEPWBCLBUY'}
1619542053.125239,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A13FUEPWBCLBUY'}
1619542053.333987,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A13FUEPWBCLBUY'}
1619542054.483002,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A13FUEPWBCLBUY'}
1619542055.213808,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A13FUEPWBCLBUY'}
1619542055.288656,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A13FUEPWBCLBUY'}
1619542055.636972,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A13FUEPWBCLBUY'}
1619542055.945405,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A13FUEPWBCLBUY'}
1619542056.989063,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A13FUEPWBCLBUY'}
1619542057.210881,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A13FUEPWBCLBUY'}
1619542057.616806,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A13FUEPWBCLBUY'}
1619542057.758616,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A13FUEPWBCLBUY'}
1619542057.929666,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A13FUEPWBCLBUY'}
1619542058.873723,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A13FUEPWBCLBUY'}
1619542059.183316,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A13FUEPWBCLBUY'}
1619542059.600836,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A13FUEPWBCLBUY'}
1619542060.861221,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A13FUEPWBCLBUY'}
1619542060.896404,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A13FUEPWBCLBUY'}
1619542061.062987,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A13FUEPWBCLBUY'}
1619542062.427011,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A13FUEPWBCLBUY'}
1619542062.42621,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A13FUEPWBCLBUY'}
1619542062.476699,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A13FUEPWBCLBUY'}
1619542062.735328,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A13FUEPWBCLBUY'}
1619542063.048392,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A13FUEPWBCLBUY'}
