
1619806164.999421,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1V12EEDWM5F2H'}
1619806165.340714,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1V12EEDWM5F2H'}
1619806166.25327,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1V12EEDWM5F2H'}
1619806166.985542,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1V12EEDWM5F2H'}
1619806167.298927,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1V12EEDWM5F2H'}
1619806168.446911,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1V12EEDWM5F2H'}
1619806168.568969,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1V12EEDWM5F2H'}
1619806169.70027,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1V12EEDWM5F2H'}
1619806170.013873,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1V12EEDWM5F2H'}
1619806171.371258,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1V12EEDWM5F2H'}
1619806172.207852,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1V12EEDWM5F2H'}
1619806173.564804,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1V12EEDWM5F2H'}
1619806174.048896,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1V12EEDWM5F2H'}
1619806174.713609,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1V12EEDWM5F2H'}
1619806176.53477,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1V12EEDWM5F2H'}
1619806177.533692,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1V12EEDWM5F2H'}
1619806178.787361,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1V12EEDWM5F2H'}
1619806179.101444,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1V12EEDWM5F2H'}
1619806179.837362,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1V12EEDWM5F2H'}
1619806180.876214,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1V12EEDWM5F2H'}
1619806181.190436,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1V12EEDWM5F2H'}
1619806183.264509,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1V12EEDWM5F2H'}
1619806183.376174,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1V12EEDWM5F2H'}
1619806184.950765,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1V12EEDWM5F2H'}
