
1619657474.647935,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2871R3LEPWMMK'}
1619657475.695026,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2871R3LEPWMMK'}
1619657476.131738,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2871R3LEPWMMK'}
1619657476.834814,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2871R3LEPWMMK'}
1619657477.471006,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2871R3LEPWMMK'}
1619657477.990931,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2871R3LEPWMMK'}
1619657479.138779,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2871R3LEPWMMK'}
1619657479.452162,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2871R3LEPWMMK'}
1619657480.078677,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2871R3LEPWMMK'}
1619657480.804927,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2871R3LEPWMMK'}
1619657482.095898,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2871R3LEPWMMK'}
1619657482.690296,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2871R3LEPWMMK'}
1619657483.213296,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2871R3LEPWMMK'}
1619657483.630294,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2871R3LEPWMMK'}
1619657484.049706,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2871R3LEPWMMK'}
1619657484.466357,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2871R3LEPWMMK'}
1619657485.505259,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2871R3LEPWMMK'}
1619657487.285768,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2871R3LEPWMMK'}
1619657487.91372,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2871R3LEPWMMK'}
1619657494.384484,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2871R3LEPWMMK'}
1619657494.390426,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2871R3LEPWMMK'}
1619657499.29639,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2871R3LEPWMMK'}
1619657499.612607,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2871R3LEPWMMK'}
1619657500.384557,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2871R3LEPWMMK'}
1619657501.179016,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2871R3LEPWMMK'}
1619657502.216745,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2871R3LEPWMMK'}
1619657502.745054,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2871R3LEPWMMK'}
1619657506.191273,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2871R3LEPWMMK'}
1619657506.218238,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2871R3LEPWMMK'}
1619657518.413508,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2871R3LEPWMMK'}
1619657518.413014,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2871R3LEPWMMK'}
1619657548.494166,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2871R3LEPWMMK'}
