
1619635287.111156,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AKMIORNF40ST7'}
1619635287.529624,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKMIORNF40ST7'}
1619635287.738074,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKMIORNF40ST7'}
1619635287.793293,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKMIORNF40ST7'}
1619635288.469195,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKMIORNF40ST7'}
1619635289.931606,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKMIORNF40ST7'}
1619635289.932328,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKMIORNF40ST7'}
1619635291.289602,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AKMIORNF40ST7'}
1619635291.344366,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AKMIORNF40ST7'}
1619635292.856407,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AKMIORNF40ST7'}
1619635292.857409,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AKMIORNF40ST7'}
1619635293.694149,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AKMIORNF40ST7'}
1619635294.52758,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AKMIORNF40ST7'}
1619635295.885644,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AKMIORNF40ST7'}
1619635295.889067,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AKMIORNF40ST7'}
