
1614261585.577293,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1OHY9EPNQE37J'}
1614261586.309113,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1OHY9EPNQE37J'}
1614261586.934183,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1OHY9EPNQE37J'}
1614261587.874491,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1OHY9EPNQE37J'}
1614261588.399477,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1OHY9EPNQE37J'}
1614261588.920298,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1OHY9EPNQE37J'}
1614261590.172399,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1OHY9EPNQE37J'}
1614261591.03119,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1OHY9EPNQE37J'}
1614261591.842657,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1OHY9EPNQE37J'}
1614261592.68074,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1OHY9EPNQE37J'}
1614261593.513951,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1OHY9EPNQE37J'}
1614261594.767149,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1OHY9EPNQE37J'}
1614261595.602559,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1OHY9EPNQE37J'}
1614261596.125154,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1OHY9EPNQE37J'}
1614261600.197636,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1OHY9EPNQE37J'}
1614261601.557689,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1OHY9EPNQE37J'}
