
1619815867.567427,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A10JXOU89D5RXR'}
1619815869.016947,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10JXOU89D5RXR'}
1619815869.85293,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10JXOU89D5RXR'}
1619815870.899024,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10JXOU89D5RXR'}
1619815872.465811,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10JXOU89D5RXR'}
1619815874.448331,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10JXOU89D5RXR'}
1619815879.360622,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10JXOU89D5RXR'}
1619815884.684338,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10JXOU89D5RXR'}
1619815885.089148,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10JXOU89D5RXR'}
1619815887.609777,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10JXOU89D5RXR'}
1619815887.923308,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10JXOU89D5RXR'}
1619815889.070913,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10JXOU89D5RXR'}
1619815889.36798,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10JXOU89D5RXR'}
1619815890.013002,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10JXOU89D5RXR'}
1619815892.204881,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10JXOU89D5RXR'}
1619815892.936773,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10JXOU89D5RXR'}
1619815893.77162,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10JXOU89D5RXR'}
1619815894.189764,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10JXOU89D5RXR'}
1619815894.503018,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10JXOU89D5RXR'}
1619815898.532312,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A10JXOU89D5RXR'}
1619815899.098182,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A10JXOU89D5RXR'}
1619815903.173085,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A10JXOU89D5RXR'}
1619815903.172597,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A10JXOU89D5RXR'}
