
1614301004.156209,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AG6WV3WODQ7IN'}
1614301004.466619,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AG6WV3WODQ7IN'}
1614301004.592185,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AG6WV3WODQ7IN'}
1614301005.823742,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AG6WV3WODQ7IN'}
1614301006.553774,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AG6WV3WODQ7IN'}
1614301009.063759,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AG6WV3WODQ7IN'}
1614301009.375093,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG6WV3WODQ7IN'}
1614301010.118662,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AG6WV3WODQ7IN'}
1614301010.186298,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AG6WV3WODQ7IN'}
1614301010.942862,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AG6WV3WODQ7IN'}
1614301011.463547,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG6WV3WODQ7IN'}
1614301011.882406,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG6WV3WODQ7IN'}
1614301013.140012,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AG6WV3WODQ7IN'}
1614301014.074897,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AG6WV3WODQ7IN'}
1614301014.493096,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AG6WV3WODQ7IN'}
1614301014.496411,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AG6WV3WODQ7IN'}
