
1614271937.373931,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A250FES5PFCGK9'}
1614271937.896845,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A250FES5PFCGK9'}
1614271938.41657,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A250FES5PFCGK9'}
1614271938.940477,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A250FES5PFCGK9'}
1614271939.27366,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A250FES5PFCGK9'}
1614271939.777101,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A250FES5PFCGK9'}
1614271940.298335,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A250FES5PFCGK9'}
1614271947.196728,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A250FES5PFCGK9'}
1614271947.23603,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A250FES5PFCGK9'}
1614271947.718636,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A250FES5PFCGK9'}
1614271948.549983,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A250FES5PFCGK9'}
1614271948.993989,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A250FES5PFCGK9'}
1614271949.594959,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A250FES5PFCGK9'}
1614271953.563998,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A250FES5PFCGK9'}
1614271953.772516,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A250FES5PFCGK9'}
1614271954.921491,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A250FES5PFCGK9'}
1614271956.278611,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A250FES5PFCGK9'}
1614271956.487597,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A250FES5PFCGK9'}
