
1614271869.9884,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AKNU5D6QK7M72'}
1614271870.945119,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AKNU5D6QK7M72'}
1614271872.302565,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKNU5D6QK7M72'}
1614271872.967721,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKNU5D6QK7M72'}
1614271873.661027,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKNU5D6QK7M72'}
1614271874.288229,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKNU5D6QK7M72'}
1614271874.812076,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKNU5D6QK7M72'}
1614271875.541792,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKNU5D6QK7M72'}
1614271875.564578,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKNU5D6QK7M72'}
1614271875.799064,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKNU5D6QK7M72'}
1614271876.272323,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKNU5D6QK7M72'}
1614271876.274326,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKNU5D6QK7M72'}
1614271876.355112,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKNU5D6QK7M72'}
1614271876.585163,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKNU5D6QK7M72'}
1614271876.753373,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKNU5D6QK7M72'}
1614271877.629753,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKNU5D6QK7M72'}
1614271878.256655,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKNU5D6QK7M72'}
1614271879.409416,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKNU5D6QK7M72'}
1614271879.823433,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKNU5D6QK7M72'}
1614271881.079017,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKNU5D6QK7M72'}
1614271881.390571,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKNU5D6QK7M72'}
1614271882.040887,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AKNU5D6QK7M72'}
1614271882.146973,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AKNU5D6QK7M72'}
1614271883.062226,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AKNU5D6QK7M72'}
1614271883.896733,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AKNU5D6QK7M72'}
1614271884.419297,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AKNU5D6QK7M72'}
1614271885.055743,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AKNU5D6QK7M72'}
1614271885.18482,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AKNU5D6QK7M72'}
1614271885.982672,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AKNU5D6QK7M72'}
1614271886.820839,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AKNU5D6QK7M72'}
1614271886.95725,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AKNU5D6QK7M72'}
1614271887.552688,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AKNU5D6QK7M72'}
