
1616364648.589818,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F41962'}
1616364649.574043,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F41962'}
1616364650.268126,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F41962'}
1616364650.469223,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F41962'}
1616364651.010165,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F41962'}
1616364653.429745,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F41962'}
1616364653.821629,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F41962'}
1616364654.466421,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F41962'}
1616364654.838046,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'F41962'}
1616364655.160283,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'F41962'}
1616364656.057119,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F41962'}
1616364656.392386,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F41962'}
1616364657.199505,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'F41962'}
1616364657.643824,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F41962'}
1616364658.142945,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'F41962'}
1616364658.626938,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'F41962'}
1616364659.31828,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'F41962'}
1616364659.737461,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'F41962'}
1616364660.180969,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F41962'}
1616364660.645588,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'F41962'}
1616364661.302256,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'F41962'}
1616364661.615979,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'F41962'}
1616364662.557142,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F41962'}
1616364664.335301,F41962,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'F41962'}
1616364664.336751,F41962,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'F41962'}
1616364694.414197,F41962,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'F41962'}
1616364695.979711,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F41962'}
1616364696.188886,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F41962'}
1616364698.174511,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F41962'}
1616364698.465569,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F41962'}
1616364699.008853,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F41962'}
1616364701.202142,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F41962'}
1616364701.51565,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F41962'}
1616364702.126031,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F41962'}
1616364703.292278,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'F41962'}
1616364704.127595,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'F41962'}
1616364704.338357,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F41962'}
1616364704.858823,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F41962'}
1616364705.904309,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F41962'}
1616364706.622716,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F41962'}
1616364706.947093,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'F41962'}
1616364707.261575,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'F41962'}
1616364707.672995,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'F41962'}
1616364708.099813,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'F41962'}
1616364708.35662,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'F41962'}
1616364709.035641,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F41962'}
1616364709.453807,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'F41962'}
1616364709.766914,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'F41962'}
1616364710.375307,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'F41962'}
1616364710.835503,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F41962'}
1616364712.067819,F41962,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'F41962'}
1616364712.069251,F41962,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'F41962'}
1616364742.056965,F41962,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'F41962'}
1616364753.672247,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'F41962'}
1616364754.757817,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'F41962'}
1616364755.934857,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F41962'}
1616364756.560519,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F41962'}
1616364756.768967,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F41962'}
1616364757.395921,F41962,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F41962'}
