
1616349367.207344,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3T61NKKEVC5V0'}
1616349367.838444,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3T61NKKEVC5V0'}
1616349368.426704,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3T61NKKEVC5V0'}
1616349369.463684,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3T61NKKEVC5V0'}
1616349370.102217,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3T61NKKEVC5V0'}
1616349370.57956,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3T61NKKEVC5V0'}
1616349371.001619,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3T61NKKEVC5V0'}
1616349371.955311,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3T61NKKEVC5V0'}
1616349372.774039,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3T61NKKEVC5V0'}
1616349373.114729,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3T61NKKEVC5V0'}
1616349373.524448,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3T61NKKEVC5V0'}
1616349374.891509,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3T61NKKEVC5V0'}
1616349374.892421,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3T61NKKEVC5V0'}
1616349379.501527,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3T61NKKEVC5V0'}
1616349380.044761,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3T61NKKEVC5V0'}
1616349380.267242,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3T61NKKEVC5V0'}
1616349380.52069,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3T61NKKEVC5V0'}
1616349381.332279,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3T61NKKEVC5V0'}
1616349381.702231,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3T61NKKEVC5V0'}
1616349404.89844,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3T61NKKEVC5V0'}
1616349407.245066,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3T61NKKEVC5V0'}
1616349407.264121,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3T61NKKEVC5V0'}
1616349437.305665,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3T61NKKEVC5V0'}
1616349439.920403,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3T61NKKEVC5V0'}
1616349440.894467,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3T61NKKEVC5V0'}
1616349441.604694,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3T61NKKEVC5V0'}
1616349442.00243,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3T61NKKEVC5V0'}
