
1614015936.829454,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3PYD7EU2WFST6'}
1614015938.608985,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3PYD7EU2WFST6'}
1614015939.022595,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3PYD7EU2WFST6'}
1614015940.693548,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3PYD7EU2WFST6'}
1614015941.316807,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3PYD7EU2WFST6'}
1614015942.442699,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3PYD7EU2WFST6'}
1614015943.09579,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3PYD7EU2WFST6'}
1614015943.408955,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3PYD7EU2WFST6'}
1614015943.829128,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3PYD7EU2WFST6'}
1614015944.140595,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3PYD7EU2WFST6'}
1614015945.394144,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3PYD7EU2WFST6'}
1614015946.542734,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3PYD7EU2WFST6'}
1614015947.60112,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3PYD7EU2WFST6'}
1614015948.528921,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3PYD7EU2WFST6'}
1614015949.050376,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3PYD7EU2WFST6'}
1614015950.583663,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3PYD7EU2WFST6'}
1614015951.035609,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3PYD7EU2WFST6'}
1614015951.978446,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3PYD7EU2WFST6'}
1614015984.2515,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3PYD7EU2WFST6'}
1614015985.303637,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3PYD7EU2WFST6'}
1614015987.281066,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3PYD7EU2WFST6'}
1614015987.907179,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3PYD7EU2WFST6'}
1614015988.95145,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3PYD7EU2WFST6'}
1614015989.264528,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3PYD7EU2WFST6'}
1614015990.831137,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3PYD7EU2WFST6'}
1614015991.568555,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3PYD7EU2WFST6'}
1614015993.442805,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3PYD7EU2WFST6'}
1614015993.488726,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3PYD7EU2WFST6'}
1614016004.096727,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3PYD7EU2WFST6'}
1614016004.098817,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A3PYD7EU2WFST6'}
1614016027.286586,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3PYD7EU2WFST6'}
1614016027.290303,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A3PYD7EU2WFST6'}
1614016030.025058,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3PYD7EU2WFST6'}
1614016030.313735,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3PYD7EU2WFST6'}
1614016031.880464,A3PYD7EU2WFST6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3PYD7EU2WFST6'}
