
1614301459.804889,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301460.140799,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301460.662548,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301461.371182,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301461.893045,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301462.336051,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301463.147307,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301467.030959,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301468.240722,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301503.150636,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301503.771811,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301504.090846,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301504.927299,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301505.657003,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301508.790211,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301510.043531,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301510.252516,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301511.087839,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301512.027986,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301512.415609,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301513.803691,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301514.325828,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301514.690156,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301515.798552,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301516.911214,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301517.25084,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301518.446087,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301518.56699,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301518.817291,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301522.264206,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301522.577419,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301523.329416,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301523.726796,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301523.933811,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301525.08402,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301525.206273,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301525.532755,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301525.920125,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301526.774672,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301527.927794,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301528.383305,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301528.949145,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301532.918515,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301533.753893,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301541.390798,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301541.900476,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301542.401453,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301542.840516,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301543.300871,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301543.717669,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301544.055152,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301545.138276,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2MOKIEQZ0OF2M'}
1614301545.451537,A2MOKIEQZ0OF2M,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2MOKIEQZ0OF2M'}
