
1614013894.383808,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A273EH17NSJRH0'}
1614013894.791742,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A273EH17NSJRH0'}
1614013895.37806,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A273EH17NSJRH0'}
1614013896.054614,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A273EH17NSJRH0'}
1614013896.578905,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A273EH17NSJRH0'}
1614013896.890439,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A273EH17NSJRH0'}
1614013897.308669,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A273EH17NSJRH0'}
1614013897.830237,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A273EH17NSJRH0'}
1614013898.35252,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A273EH17NSJRH0'}
1614013898.771152,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A273EH17NSJRH0'}
1614013899.249989,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A273EH17NSJRH0'}
1614013899.8149,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A273EH17NSJRH0'}
1614013900.233442,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A273EH17NSJRH0'}
1614013900.546023,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A273EH17NSJRH0'}
1614013901.068234,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A273EH17NSJRH0'}
1614013901.485902,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A273EH17NSJRH0'}
1614013902.008842,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A273EH17NSJRH0'}
1614013902.765349,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A273EH17NSJRH0'}
1614013902.774202,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A273EH17NSJRH0'}
1614013932.82146,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A273EH17NSJRH0'}
1614013935.5392,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A273EH17NSJRH0'}
1614013935.954042,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A273EH17NSJRH0'}
1614013936.022252,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A273EH17NSJRH0'}
1614013936.372924,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A273EH17NSJRH0'}
1614013936.483954,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A273EH17NSJRH0'}
1614013936.862519,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A273EH17NSJRH0'}
1614013937.834078,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A273EH17NSJRH0'}
1614013938.253575,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A273EH17NSJRH0'}
1614013938.56545,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A273EH17NSJRH0'}
1614013940.549629,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A273EH17NSJRH0'}
1614013941.072067,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A273EH17NSJRH0'}
1614013941.825527,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A273EH17NSJRH0'}
