
1614306444.263886,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10AVWALIHR4UQ'}
1614306444.626159,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10AVWALIHR4UQ'}
1614306445.357826,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10AVWALIHR4UQ'}
1614306445.774869,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A10AVWALIHR4UQ'}
1614306445.98717,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A10AVWALIHR4UQ'}
1614306446.505693,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10AVWALIHR4UQ'}
1614306446.922162,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10AVWALIHR4UQ'}
1614306447.443581,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A10AVWALIHR4UQ'}
1614306447.687818,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A10AVWALIHR4UQ'}
1614306448.071665,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A10AVWALIHR4UQ'}
1614306448.595599,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10AVWALIHR4UQ'}
1614306448.907236,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A10AVWALIHR4UQ'}
1614306449.22259,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A10AVWALIHR4UQ'}
1614306449.532884,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10AVWALIHR4UQ'}
1614306480.152434,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A10AVWALIHR4UQ'}
1614306480.150568,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A10AVWALIHR4UQ'}
1614306510.324444,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A10AVWALIHR4UQ'}
1614306516.904479,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10AVWALIHR4UQ'}
1614306517.322255,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10AVWALIHR4UQ'}
1614306517.845111,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10AVWALIHR4UQ'}
1614306520.666068,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10AVWALIHR4UQ'}
1614306521.1873,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10AVWALIHR4UQ'}
1614306524.462585,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10AVWALIHR4UQ'}
1614306527.141435,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10AVWALIHR4UQ'}
1614306527.559392,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10AVWALIHR4UQ'}
1614306527.976121,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10AVWALIHR4UQ'}
1614306528.290217,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10AVWALIHR4UQ'}
1614306528.811394,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A10AVWALIHR4UQ'}
1614306529.021522,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A10AVWALIHR4UQ'}
1614306529.857085,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10AVWALIHR4UQ'}
1614306530.379834,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A10AVWALIHR4UQ'}
1614306530.692658,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A10AVWALIHR4UQ'}
1614306531.005534,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A10AVWALIHR4UQ'}
1614306531.423365,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A10AVWALIHR4UQ'}
1614306531.841007,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10AVWALIHR4UQ'}
1614306532.21416,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A10AVWALIHR4UQ'}
1614306532.780626,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10AVWALIHR4UQ'}
1614306551.479865,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A10AVWALIHR4UQ'}
1614306551.482023,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A10AVWALIHR4UQ'}
1614306581.481579,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A10AVWALIHR4UQ'}
1614306586.780317,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10AVWALIHR4UQ'}
1614306587.037612,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10AVWALIHR4UQ'}
1614306587.860453,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10AVWALIHR4UQ'}
1614306588.07533,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10AVWALIHR4UQ'}
1614306593.929153,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10AVWALIHR4UQ'}
1614306594.239488,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10AVWALIHR4UQ'}
1614306595.074956,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10AVWALIHR4UQ'}
1614306596.328581,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10AVWALIHR4UQ'}
1614306598.544265,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10AVWALIHR4UQ'}
1614306599.254062,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10AVWALIHR4UQ'}
1614306601.030567,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10AVWALIHR4UQ'}
1614306601.655472,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A10AVWALIHR4UQ'}
1614306602.908699,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A10AVWALIHR4UQ'}
1614306604.371112,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10AVWALIHR4UQ'}
1614306606.564419,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A10AVWALIHR4UQ'}
1614306607.086761,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A10AVWALIHR4UQ'}
1614306607.500056,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A10AVWALIHR4UQ'}
1614306607.818086,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A10AVWALIHR4UQ'}
1614306608.340479,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10AVWALIHR4UQ'}
1614306608.653585,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A10AVWALIHR4UQ'}
1614306608.966664,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10AVWALIHR4UQ'}
1614306620.103167,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A10AVWALIHR4UQ'}
1614306620.109362,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A10AVWALIHR4UQ'}
1614306650.118525,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A10AVWALIHR4UQ'}
1614306657.686243,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10AVWALIHR4UQ'}
1614306658.104096,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10AVWALIHR4UQ'}
1614306659.207397,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10AVWALIHR4UQ'}
1614306659.36551,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10AVWALIHR4UQ'}
1614306660.251917,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10AVWALIHR4UQ'}
1614306660.254426,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10AVWALIHR4UQ'}
1614306661.81856,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10AVWALIHR4UQ'}
1614306661.854261,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10AVWALIHR4UQ'}
1614306662.302826,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10AVWALIHR4UQ'}
1614306662.657216,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10AVWALIHR4UQ'}
1614306662.962634,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10AVWALIHR4UQ'}
1614306666.194449,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10AVWALIHR4UQ'}
