
1614015216.820354,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015217.23757,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015217.970938,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015218.386242,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015219.007644,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015219.537632,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015219.954138,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015224.962731,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015227.365891,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015228.095858,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015228.776432,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015228.958176,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015229.378439,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015230.025638,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015230.479606,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015231.176555,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015231.609292,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015233.194852,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015233.694945,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015234.131142,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015235.305983,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015236.453602,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2P8V5SKYLL5I4'}
1614015237.498076,A2P8V5SKYLL5I4,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2P8V5SKYLL5I4'}
