
1616203370.017584,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203392.055188,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203393.100443,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203397.068629,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203398.949366,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203400.725508,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203401.98074,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203403.33608,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203403.754673,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203405.95109,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203407.170938,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203409.184794,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203409.499205,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203410.514639,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203410.643285,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203412.216779,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203412.298563,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203413.989278,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203414.098946,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203415.562312,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203417.609397,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203418.377107,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203421.615377,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203423.203816,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A18BBM4JCRJCZ7'}
