
1614025395.986463,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2FGKKWP33DFWS'}
1614025398.699864,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2FGKKWP33DFWS'}
1614025402.984746,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FGKKWP33DFWS'}
1614025404.23733,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FGKKWP33DFWS'}
1614025406.325084,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FGKKWP33DFWS'}
1614025409.876201,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FGKKWP33DFWS'}
1614025410.294725,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FGKKWP33DFWS'}
1614025410.922945,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FGKKWP33DFWS'}
1614025413.115025,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2FGKKWP33DFWS'}
1614025415.308553,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2FGKKWP33DFWS'}
1614025417.397091,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2FGKKWP33DFWS'}
1614025421.157137,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2FGKKWP33DFWS'}
1614025424.501748,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2FGKKWP33DFWS'}
1614025425.962614,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2FGKKWP33DFWS'}
1614025426.692181,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2FGKKWP33DFWS'}
1614025428.0511,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2FGKKWP33DFWS'}
1614025428.887151,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2FGKKWP33DFWS'}
1614025429.723337,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2FGKKWP33DFWS'}
1614025430.662972,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2FGKKWP33DFWS'}
1614025431.393387,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2FGKKWP33DFWS'}
1614025432.124091,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2FGKKWP33DFWS'}
1614025433.064254,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2FGKKWP33DFWS'}
1614025433.876171,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2FGKKWP33DFWS'}
1614025435.153585,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2FGKKWP33DFWS'}
1614025437.243615,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2FGKKWP33DFWS'}
1614025437.247027,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2FGKKWP33DFWS'}
1614025446.225926,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FGKKWP33DFWS'}
1614025447.793123,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FGKKWP33DFWS'}
1614025448.627453,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FGKKWP33DFWS'}
1614025449.044825,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FGKKWP33DFWS'}
1614025450.089708,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FGKKWP33DFWS'}
1614025450.507226,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FGKKWP33DFWS'}
1614025452.471098,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2FGKKWP33DFWS'}
1614025452.473636,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2FGKKWP33DFWS'}
1614025458.969011,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2FGKKWP33DFWS'}
1614025458.971008,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2FGKKWP33DFWS'}
1614025488.945542,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2FGKKWP33DFWS'}
1614025494.02601,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2FGKKWP33DFWS'}
1614025494.585695,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2FGKKWP33DFWS'}
1614025504.404021,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FGKKWP33DFWS'}
1614025504.926758,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FGKKWP33DFWS'}
1614025505.970884,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FGKKWP33DFWS'}
1614025509.730864,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FGKKWP33DFWS'}
1614025510.984077,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FGKKWP33DFWS'}
1614025513.908852,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2FGKKWP33DFWS'}
1614025515.893402,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2FGKKWP33DFWS'}
1614025516.311097,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2FGKKWP33DFWS'}
1614025516.939046,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2FGKKWP33DFWS'}
1614025518.610261,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2FGKKWP33DFWS'}
1614025523.623175,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2FGKKWP33DFWS'}
1614025524.040612,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2FGKKWP33DFWS'}
1614025525.189279,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2FGKKWP33DFWS'}
1614025525.686918,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2FGKKWP33DFWS'}
1614025527.488421,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2FGKKWP33DFWS'}
1614025527.905191,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2FGKKWP33DFWS'}
1614025531.560461,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2FGKKWP33DFWS'}
1614025532.500614,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2FGKKWP33DFWS'}
1614025533.462313,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2FGKKWP33DFWS'}
1614025534.099777,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2FGKKWP33DFWS'}
