
1614017566.625703,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1BIJGB7XA0GME'}
1614017568.506733,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1BIJGB7XA0GME'}
1614017568.819123,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1BIJGB7XA0GME'}
1614017570.074132,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1BIJGB7XA0GME'}
1614017570.382261,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1BIJGB7XA0GME'}
1614017572.476382,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1BIJGB7XA0GME'}
1614017573.310965,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1BIJGB7XA0GME'}
1614017574.564011,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1BIJGB7XA0GME'}
1614017576.757527,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1BIJGB7XA0GME'}
1614017577.181011,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1BIJGB7XA0GME'}
1614017578.533506,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1BIJGB7XA0GME'}
1614017578.950978,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1BIJGB7XA0GME'}
1614017581.562193,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1BIJGB7XA0GME'}
1614017583.381578,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1BIJGB7XA0GME'}
1614017585.010062,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1BIJGB7XA0GME'}
1614017585.322824,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1BIJGB7XA0GME'}
1614017604.438714,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1BIJGB7XA0GME'}
1614017604.465366,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1BIJGB7XA0GME'}
1614017617.075886,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1BIJGB7XA0GME'}
1614017617.490764,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1BIJGB7XA0GME'}
1614017618.803355,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1BIJGB7XA0GME'}
