
1616174160.649853,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2VO8C41JJIQY9'}
1616174170.991961,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2VO8C41JJIQY9'}
1616174172.243601,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2VO8C41JJIQY9'}
1616174172.556853,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2VO8C41JJIQY9'}
1616174172.730271,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2VO8C41JJIQY9'}
1616174173.650964,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2VO8C41JJIQY9'}
1616174174.645424,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2VO8C41JJIQY9'}
1616174174.693894,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2VO8C41JJIQY9'}
1616174178.405464,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2VO8C41JJIQY9'}
1616174178.407522,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2VO8C41JJIQY9'}
1616174178.432134,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2VO8C41JJIQY9'}
1616174178.483881,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2VO8C41JJIQY9'}
1616174179.345967,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2VO8C41JJIQY9'}
1616174180.287574,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2VO8C41JJIQY9'}
1616174181.329933,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2VO8C41JJIQY9'}
1616174181.957018,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2VO8C41JJIQY9'}
1616174182.824517,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2VO8C41JJIQY9'}
1616174183.209564,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2VO8C41JJIQY9'}
1616174184.465027,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2VO8C41JJIQY9'}
1616174184.466056,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2VO8C41JJIQY9'}
1616174185.353599,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2VO8C41JJIQY9'}
1616174186.031071,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2VO8C41JJIQY9'}
1616174278.048136,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2VO8C41JJIQY9'}
1616174278.115716,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2VO8C41JJIQY9'}
1616174290.790618,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2VO8C41JJIQY9'}
1616174291.419936,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2VO8C41JJIQY9'}
1616174291.442697,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2VO8C41JJIQY9'}
1616174292.124404,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2VO8C41JJIQY9'}
1616174292.136974,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2VO8C41JJIQY9'}
1616174292.565996,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2VO8C41JJIQY9'}
1616174293.506713,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2VO8C41JJIQY9'}
1616174293.507549,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2VO8C41JJIQY9'}
1616174293.646746,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2VO8C41JJIQY9'}
1616174294.132829,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2VO8C41JJIQY9'}
1616174294.515646,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2VO8C41JJIQY9'}
1616174294.864106,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2VO8C41JJIQY9'}
1616174295.682669,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2VO8C41JJIQY9'}
1616174295.730562,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2VO8C41JJIQY9'}
1616174296.430874,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2VO8C41JJIQY9'}
1616174297.059207,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2VO8C41JJIQY9'}
1616174297.059699,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2VO8C41JJIQY9'}
1616174297.060571,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2VO8C41JJIQY9'}
1616174297.684466,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2VO8C41JJIQY9'}
1616174297.68562,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2VO8C41JJIQY9'}
1616174298.311055,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2VO8C41JJIQY9'}
1616174298.833206,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2VO8C41JJIQY9'}
1616174299.146451,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2VO8C41JJIQY9'}
1616174300.087304,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2VO8C41JJIQY9'}
1616174300.399853,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2VO8C41JJIQY9'}
1616174301.02612,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2VO8C41JJIQY9'}
1616174301.844212,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2VO8C41JJIQY9'}
1616174301.845924,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2VO8C41JJIQY9'}
1616174302.80265,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2VO8C41JJIQY9'}
1616174303.42929,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2VO8C41JJIQY9'}
1616174303.487194,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2VO8C41JJIQY9'}
1616174303.950636,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2VO8C41JJIQY9'}
1616174304.995304,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2VO8C41JJIQY9'}
1616174305.309155,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2VO8C41JJIQY9'}
1616174305.468268,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2VO8C41JJIQY9'}
1616174305.77798,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2VO8C41JJIQY9'}
1616174306.457578,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2VO8C41JJIQY9'}
1616174308.129775,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2VO8C41JJIQY9'}
1616174308.132471,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2VO8C41JJIQY9'}
1616174308.246723,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2VO8C41JJIQY9'}
1616174308.964964,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2VO8C41JJIQY9'}
1616174309.074054,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2VO8C41JJIQY9'}
1616174309.904195,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2VO8C41JJIQY9'}
1616174336.435711,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2VO8C41JJIQY9'}
1616174336.436331,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2VO8C41JJIQY9'}
1616174338.318897,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2VO8C41JJIQY9'}
1616174338.320489,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2VO8C41JJIQY9'}
1616174357.219221,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2VO8C41JJIQY9'}
1616174357.245767,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2VO8C41JJIQY9'}
1616174387.415578,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2VO8C41JJIQY9'}
1616174389.806818,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2VO8C41JJIQY9'}
1616174390.433397,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2VO8C41JJIQY9'}
1616174392.940056,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2VO8C41JJIQY9'}
1616174394.19323,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2VO8C41JJIQY9'}
1616174395.133026,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2VO8C41JJIQY9'}
1616174396.699846,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2VO8C41JJIQY9'}
1616174397.326528,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2VO8C41JJIQY9'}
1616174397.849601,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2VO8C41JJIQY9'}
1616174407.668117,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2VO8C41JJIQY9'}
1616174407.668906,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2VO8C41JJIQY9'}
1616174407.693565,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2VO8C41JJIQY9'}
1616174407.743928,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2VO8C41JJIQY9'}
1616174408.215013,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2VO8C41JJIQY9'}
1616174409.129413,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2VO8C41JJIQY9'}
1616174409.21062,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2VO8C41JJIQY9'}
1616174409.651789,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2VO8C41JJIQY9'}
1616174409.964806,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2VO8C41JJIQY9'}
1616174410.593396,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2VO8C41JJIQY9'}
1616174411.443164,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2VO8C41JJIQY9'}
1616174411.444296,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2VO8C41JJIQY9'}
1616174412.055721,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2VO8C41JJIQY9'}
1616174412.05529,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2VO8C41JJIQY9'}
1616174412.366984,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2VO8C41JJIQY9'}
1616174412.994759,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2VO8C41JJIQY9'}
1616174413.726138,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2VO8C41JJIQY9'}
1616174414.352467,A2VO8C41JJIQY9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2VO8C41JJIQY9'}
