
1614295136.744576,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295137.728817,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295140.03942,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295153.917394,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295154.543022,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295155.695534,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295155.758084,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295160.392692,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295161.165715,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295161.442387,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295162.280673,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295162.40254,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295163.745629,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295163.744036,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295164.20147,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295164.610076,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295165.103787,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295165.661196,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295165.973425,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295166.557714,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295168.234379,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295169.877671,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295170.941529,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295171.039138,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295172.027964,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295172.116097,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3N6DWJC7P3HSI'}
1614295180.969039,A3N6DWJC7P3HSI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N6DWJC7P3HSI'}
