
1614014884.907647,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'ARI1EMAHUA9PO'}
1614014887.002172,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'ARI1EMAHUA9PO'}
1614014887.419689,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'ARI1EMAHUA9PO'}
1614014887.904282,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'ARI1EMAHUA9PO'}
1614014888.882242,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'ARI1EMAHUA9PO'}
1614014889.296637,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'ARI1EMAHUA9PO'}
1614014889.717959,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'ARI1EMAHUA9PO'}
1614014890.448707,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'ARI1EMAHUA9PO'}
1614014891.390538,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'ARI1EMAHUA9PO'}
1614014892.224297,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'ARI1EMAHUA9PO'}
1614014895.253451,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'ARI1EMAHUA9PO'}
1614014895.775935,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'ARI1EMAHUA9PO'}
