
1614305049.431441,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305050.068818,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305051.62055,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305051.621521,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305081.619178,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305084.73154,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305085.149441,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305094.445804,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305095.281353,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305097.161104,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305097.89095,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305098.413318,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305099.254555,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305099.969981,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305100.712272,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305101.443614,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305102.083213,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305103.251376,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305104.05129,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305104.589856,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305105.190779,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305106.043978,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305106.604753,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305107.397399,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305109.175253,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305109.173303,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305139.254668,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305143.749405,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305144.131375,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305145.942266,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305146.372353,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305148.921842,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305149.239564,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305149.803846,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305151.997603,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305152.935651,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305153.562307,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305154.288936,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305155.155581,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305155.965123,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305156.692384,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305157.400448,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305158.160192,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305158.68251,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305159.517553,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305160.144552,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305160.771049,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305161.502509,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305165.471688,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305165.474411,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305195.455637,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305199.104169,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305199.458828,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305199.941032,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305200.460358,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305201.089069,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305201.849865,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305203.699711,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305204.117603,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305206.729647,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305206.937921,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305219.81018,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305219.81462,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305250.137451,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305253.105009,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305253.627393,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305256.141458,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305256.552443,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305257.806256,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305257.995802,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305259.05831,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305259.267594,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305260.938556,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305261.147744,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305262.401272,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305262.526007,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305264.705596,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305264.707855,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2PUL3ZDXOW0VZ'}
1614305294.670756,A2PUL3ZDXOW0VZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2PUL3ZDXOW0VZ'}
