
1616108581.383368,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108581.905519,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108582.323546,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108582.532449,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108583.054783,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108583.681651,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108584.621162,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108585.145557,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108585.666072,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108586.501317,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108587.442006,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108588.303583,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108588.804721,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2SAZ2K1V1WJ0V'}
