
1616178930.006255,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178932.407671,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178933.347754,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178935.331814,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178936.272137,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178937.420918,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178939.510461,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178941.232796,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178942.434468,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178944.105864,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178944.941167,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178946.716689,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178946.927616,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178946.934868,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178947.061251,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178947.191739,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178947.866064,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178949.329754,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178954.341949,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178954.773897,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178954.9449,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178955.177166,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178957.684217,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178959.146624,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178960.295373,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178961.967904,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178964.579132,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178969.17426,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178969.382674,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178969.475108,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178970.217608,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178970.427171,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178970.950128,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178971.078276,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178971.993669,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178972.411444,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178972.935639,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178973.246964,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178974.91869,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
