
1614273137.436397,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273152.998969,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273153.000854,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273183.081535,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273206.5021,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273207.527463,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273208.042042,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273210.894237,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273211.494,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273212.852437,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273213.479128,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273214.000912,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273214.336507,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273215.149541,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3CF8ULBSE8MTL'}
