
1617206814.923707,A20N9775X5Q5JV,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A20N9775X5Q5JV'}
1617206827.981099,A20N9775X5Q5JV,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A20N9775X5Q5JV'}
1617206832.99363,A20N9775X5Q5JV,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A20N9775X5Q5JV'}
1617206834.455705,A20N9775X5Q5JV,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A20N9775X5Q5JV'}
1617206840.88529,A20N9775X5Q5JV,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'A20N9775X5Q5JV'}
1617206894.224661,A20N9775X5Q5JV,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'A20N9775X5Q5JV'}
1617207407.679046,A20N9775X5Q5JV,{'worker-id': 'A20N9775X5Q5JV', 'stage': 'networks', 'data': 'A20N9775X5Q5JV,3,16,15,0,25,0,2,0,-1,-1,3,3,7,7,7,7,'}
1617207407.686038,A20N9775X5Q5JV,A20N9775X5Q5JV,3,16,15,0,25,0,2,0,-1,-1,3,3,7,7,7,7,
1617207408.720807,A20N9775X5Q5JV,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A20N9775X5Q5JV'}
1617207411.332467,A20N9775X5Q5JV,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A20N9775X5Q5JV'}
1617207473.092611,A20N9775X5Q5JV,{'stage': 0, 'action': 'opened-page', 'worker-id': 'A20N9775X5Q5JV'}
1617207541.164113,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49714285714285716,0.6114285714285714]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207541.258357,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49714285714285716,0.6114285714285714]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207541.476749,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49714285714285716,0.6114285714285714]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207541.554089,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49714285714285716,0.6114285714285714]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207541.899645,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49714285714285716,0.6114285714285714]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207542.62766,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6028571428571429,0.6228571428571429]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207542.704522,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6028571428571429,0.6228571428571429]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207542.939771,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6028571428571429,0.6228571428571429]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207543.001744,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6028571428571429,0.62]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207543.252715,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5814285714285714,0.59]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207543.292839,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5671428571428572,0.5785714285714286]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207544.404039,A20N9775X5Q5JV,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207549.206931,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5585714285714286,0.5485714285714286]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207596.834819,A20N9775X5Q5JV,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207597.357557,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5571428571428572,0.5128571428571429]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207598.088112,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5571428571428572,0.5128571428571429]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207598.61048,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.5214285714285715]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207598.611229,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.5214285714285715]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207598.924559,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.5214285714285715]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207598.950944,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.5214285714285715]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207598.963561,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.5214285714285715]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207599.237424,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.5214285714285715]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207599.550275,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.5214285714285715]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207599.651558,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.5214285714285715]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207599.865463,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.5214285714285715]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207600.283193,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.5214285714285715]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207600.418117,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.5214285714285715]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207600.594516,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.5214285714285715]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207600.804359,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.5214285714285715]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207600.907014,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.5214285714285715]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207601.083933,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.5214285714285715]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207601.325973,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.5214285714285715]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207601.4123,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.5214285714285715]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207601.639462,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.5214285714285715]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207602.904145,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.48,0.4471428571428571]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207831.744035,A20N9775X5Q5JV,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207832.05646,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6471428571428571,0.4942857142857143]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207832.264221,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6471428571428571,0.4942857142857143]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207832.392025,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6471428571428571,0.4942857142857143]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207832.682488,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6471428571428571,0.4942857142857143]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207832.683589,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6471428571428571,0.4942857142857143]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207832.756999,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6471428571428571,0.4942857142857143]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207832.883148,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6471428571428571,0.4942857142857143]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207833.005776,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6471428571428571,0.4942857142857143]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207833.130795,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6471428571428571,0.4942857142857143]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207833.622065,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6471428571428571,0.4942857142857143]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207833.710344,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6471428571428571,0.4942857142857143]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207833.944245,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6471428571428571,0.4942857142857143]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207841.769252,A20N9775X5Q5JV,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207842.091458,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207842.203698,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207842.374148,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207842.710112,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207843.23183,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207843.650485,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207843.652089,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207843.675835,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207843.788782,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207843.962556,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207844.171483,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207844.383311,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207844.488903,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207844.798312,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207844.855957,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207844.933094,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207845.052098,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207845.154911,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207845.250448,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207845.357034,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207845.479073,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207845.586769,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207845.705945,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207845.82715,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207845.957226,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207846.073973,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207846.191028,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207846.310018,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207846.469343,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207847.097514,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207847.167906,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207847.409791,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207847.463078,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207847.827788,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207847.829167,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207847.933943,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207848.06986,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207848.163872,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207848.350061,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207848.446706,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207848.566781,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207848.671255,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207848.871855,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207848.951559,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207849.06096,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207849.291669,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207849.311523,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207849.453346,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207849.562458,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6171428571428571,0.44142857142857145]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
