
1617476862.834995,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3US4NGKXBVI48'}
1617476863.565905,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3US4NGKXBVI48'}
1617476863.983888,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3US4NGKXBVI48'}
1617476864.924656,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3US4NGKXBVI48'}
1617476873.17602,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3US4NGKXBVI48'}
1617476873.202971,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3US4NGKXBVI48'}
1617476903.257676,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3US4NGKXBVI48'}
1617476904.510297,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3US4NGKXBVI48'}
1617476904.797414,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3US4NGKXBVI48'}
1617476905.241209,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3US4NGKXBVI48'}
1617476906.072917,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3US4NGKXBVI48'}
1617476906.579808,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3US4NGKXBVI48'}
1617476906.939525,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3US4NGKXBVI48'}
1617476907.432597,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3US4NGKXBVI48'}
1617476908.061511,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3US4NGKXBVI48'}
1617476908.583713,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3US4NGKXBVI48'}
1617476908.810745,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3US4NGKXBVI48'}
1617476909.134366,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3US4NGKXBVI48'}
1617476909.523518,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3US4NGKXBVI48'}
1617476910.254706,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3US4NGKXBVI48'}
1617476910.463548,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3US4NGKXBVI48'}
1617476910.777498,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3US4NGKXBVI48'}
1617476911.092487,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3US4NGKXBVI48'}
1617476911.61243,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3US4NGKXBVI48'}
1617476911.926182,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3US4NGKXBVI48'}
1617476912.45517,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3US4NGKXBVI48'}
1617476913.179848,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3US4NGKXBVI48'}
1617476913.181677,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3US4NGKXBVI48'}
1617476943.156555,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3US4NGKXBVI48'}
1617476944.270124,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3US4NGKXBVI48'}
1617476944.620562,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3US4NGKXBVI48'}
1617476945.454102,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3US4NGKXBVI48'}
1617476945.663665,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3US4NGKXBVI48'}
1617476946.603855,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3US4NGKXBVI48'}
1617476946.797065,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3US4NGKXBVI48'}
1617476947.229942,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3US4NGKXBVI48'}
1617476947.962686,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3US4NGKXBVI48'}
1617476948.379314,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3US4NGKXBVI48'}
1617476949.009403,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3US4NGKXBVI48'}
1617476949.425837,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3US4NGKXBVI48'}
1617476949.863545,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3US4NGKXBVI48'}
1617476950.676921,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3US4NGKXBVI48'}
1617476950.886296,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3US4NGKXBVI48'}
1617476951.305773,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3US4NGKXBVI48'}
1617476951.467546,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3US4NGKXBVI48'}
1617476951.825908,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3US4NGKXBVI48'}
1617476952.037767,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3US4NGKXBVI48'}
1617476953.036798,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3US4NGKXBVI48'}
1617476953.393344,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3US4NGKXBVI48'}
1617476954.019997,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3US4NGKXBVI48'}
1617476955.072165,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3US4NGKXBVI48'}
1617476955.074659,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3US4NGKXBVI48'}
